Estrato;Edad;Género;Semestre;¿Vive con sus padres? ;¿En el momento en qué recibió la clase espejo se encontraba laborando?;¿Mi trabajo me elige hacer mucho esfuerzo mental?;¿Mi trabajo me e10ige hacer mucho esfuerzo físico?;¿Cuántas horas trabaja a la semana?;¿Los profesores utilizan un sistema de puntos o créditos por participación?;¿Los objetivos de la clase se plantean explícitamente?;¿Existe una preparación de la clase por parte del profesor?;¿La clase espejo cubre las necesidades de los estudiantes?;¿La puntualidad de la clase espejo se cumplió a totalidad?;¿Los profesores realizan trabajos colaborativos?;¿Los profesores adaptan los materiales y actividades de la asignatura a los intereses de los estudiantes?;¿Los profesores  explican con claridad las actividades que deben realizar los estudiantes?;¿Los profesores  genera instancias para que entre todos/as resolvamos las dudas que surgen durante la clase espejo?;¿Los profesores  atienden a todos los estudiantes de manera equitativa durante la clase espejo?;¿Las actividades fuera del aula (tareas, trabajos, lecturas, etc,) nos permiten profundizar en nuestros temas de interés?;En la clase espejo  podemos compartir nuestras experiencias y conocer a nuestros  compañeros;¿Se entiende con facilidad lo que el profesor expresa?;¿Los profesores realiza actividades donde los/as estudiantes que poseen más dominio acerca de algún contenido pueden ayudar a quienes aún no lo han desarrollado?; ¿Los profesores  utilizan diversos recursos para apoyar nuestro aprendizaje?;¿Los profesores disponen de un medio para comunicarnos con él/ella (web,mail, facebook, foro,etc,)?;Logro
3;2;1;10;0;0;0;0;0;4;4;4;4;3;3;3;3;3;3;4;3;3;3;3;3;Se cumple Aceptable
2;1;1;9;1;1;3;2;4;4;4;3;3;3;3;2;3;4;3;3;2;3;4;4;4;Se cumple Alto Grado
2;2;2;9;1;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;Se cumple Alto Grado
2;1;1;5;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Se cumple Aceptable
2;1;1;5;1;0;0;0;0;3;4;3;2;3;3;3;3;3;3;3;3;3;3;3;3;Se cumple Aceptable
2;2;1;10;1;1;3;1;4;4;4;4;2;4;2;4;4;4;4;4;4;4;2;4;4;Se cumple Aceptable
2;2;2;10;1;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Se cumple Alto Grado
2;3;1;9;1;1;5;2;4;3;3;4;3;3;3;3;3;3;3;2;3;3;3;3;3;Se cumple Aceptable
2;2;1;10;1;0;0;0;0;3;2;2;2;3;3;2;3;3;3;2;3;2;2;3;3;Se cumple Alto Grado
3;2;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Se cumple Aceptable
1;3;1;9;1;1;4;5;4;2;3;3;2;3;3;3;2;3;3;1;2;2;3;3;3;Se cumple Aceptable
2;2;1;10;0;1;3;2;5;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;Se cumple Aceptable
1;1;1;10;0;0;0;0;0;4;3;2;3;4;3;3;3;3;3;3;3;2;3;2;2;Se cumple Aceptable
2;1;1;10;0;0;0;0;0;4;4;4;3;3;4;3;4;4;4;4;3;4;4;4;3;Se cumple Aceptable
2;2;1;10;1;0;0;0;0;3;3;4;3;3;2;2;3;2;3;3;2;3;3;2;3;Se cumple Aceptable
1;3;2;10;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Se cumple Aceptable
2;2;2;10;1;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Se cumple Alto Grado
1;2;2;10;1;0;0;0;0;3;4;4;3;2;4;3;4;4;4;4;2;3;3;4;4;Se cumple Alto Grado
2;3;1;9;1;1;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Se cumple Aceptable
2;3;2;10;0;1;3;3;5;3;4;4;3;4;3;3;3;4;4;3;3;3;3;4;4;Se cumple Aceptable
1;2;1;10;0;0;0;0;0;3;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;Se cumple Aceptable
2;2;1;10;1;1;5;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Se cumple Aceptable
3;2;1;10;1;0;0;0;0;4;4;4;4;4;3;4;4;4;4;4;4;3;1;3;1;Se cumple Aceptable
2;2;2;10;1;1;3;3;1;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;Se cumple Aceptable
2;2;2;5;0;0;0;0;0;3;3;4;3;4;3;3;3;3;4;3;2;3;3;3;3;Se cumple Aceptable
2;3;2;10;0;1;3;3;5;4;4;4;4;4;4;4;4;0;4;4;4;4;4;4;4;Se cumple Aceptable
5;2;2;7;1;1;2;3;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;Se cumple Alto Grado
3;2;1;7;0;0;0;0;0;4;3;3;1;2;4;3;2;3;4;4;4;2;3;4;4;Se cumple Aceptable
2;2;1;9;0;0;0;0;0;4;0;2;1;1;1;1;1;1;1;1;1;1;2;2;2;Se cumple Aceptable
2;2;1;9;0;0;0;0;0;0;4;4;4;3;2;3;3;3;3;3;3;3;4;4;4;Se cumple Aceptable
4;2;1;7;0;1;3;3;3;4;3;4;3;3;4;4;4;4;4;3;3;4;3;3;4;Se cumple Aceptable
2;2;2;10;0;0;0;0;0;4;4;3;3;3;4;4;4;4;3;4;4;2;2;3;4;Se cumple Aceptable
2;2;1;7;0;0;0;0;0;4;3;4;3;2;3;2;3;1;1;3;1;3;3;3;3;Se cumple Aceptable
2;2;2;7;0;0;0;0;0;4;3;4;2;3;2;3;2;1;4;2;1;3;1;1;2;Se cumple Aceptable
2;1;1;7;0;0;0;0;0;4;2;3;2;3;2;2;2;3;3;2;2;2;2;2;2;Se cumple Aceptable
1;2;1;7;0;0;0;0;0;1;3;3;2;3;3;3;3;3;3;3;3;3;2;3;3;Se cumple Aceptable
1;2;1;7;0;0;0;0;0;2;2;3;2;2;2;2;2;2;2;2;3;2;3;2;2;Se cumple Aceptable
2;2;1;9;0;1;4;3;5;2;3;3;3;2;3;3;3;2;2;2;2;2;2;2;2;Se cumple Aceptable
1;2;2;7;0;0;0;0;0;3;3;4;2;3;3;3;3;3;1;2;2;3;3;2;3;Se cumple Aceptable
2;2;2;10;0;0;0;0;0;2;2;3;2;2;2;2;3;3;2;3;3;3;3;2;3;Se cumple Aceptable
1;2;2;10;1;1;3;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;Se cumple Alto Grado
2;2;2;10;1;0;0;0;0;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;Se cumple Aceptable
2;2;1;10;0;1;4;2;4;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;Se cumple Aceptable
2;2;1;7;1;0;0;0;0;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Se cumple Aceptable
