Fold,Accuracy,Training_Time,Prediction_Time
1,1.0,0.26409435272216797,0.0010256767272949219
2,0.9523809523809523,0.19519495964050293,0.0009970664978027344
3,0.9285714285714286,0.19260048866271973,0.0012896060943603516
4,0.9047619047619048,0.21023964881896973,0.0019888877868652344
5,0.9047619047619048,0.18544220924377441,0.0015442371368408203
6,0.9523809523809523,0.21446466445922852,0.0
7,0.8809523809523809,0.2000410556793213,0.0
8,0.9285714285714286,0.2196803092956543,0.001005411148071289
9,0.9047619047619048,0.18794846534729004,0.0
10,0.9285714285714286,0.205230712890625,0.0
11,0.9523809523809523,0.20337414741516113,0.015402078628540039
12,0.9523809523809523,0.21122097969055176,0.0020151138305664062
13,0.9523809523809523,0.22020530700683594,0.0
14,0.9047619047619048,0.20298099517822266,0.0
15,0.9761904761904762,0.22475719451904297,0.0011334419250488281
16,0.9523809523809523,0.17788267135620117,0.0017244815826416016
17,0.9285714285714286,0.1900036334991455,0.0
18,0.9761904761904762,0.20778203010559082,0.0
19,0.9761904761904762,0.18266773223876953,0.0
20,0.9523809523809523,0.20061826705932617,0.0010344982147216797
21,0.9523809523809523,0.1743481159210205,0.0
22,0.9761904761904762,0.21429228782653809,0.0
23,0.8095238095238095,0.17655038833618164,0.001646280288696289
24,1.0,0.18932509422302246,0.0
25,0.9761904761904762,0.1955256462097168,0.0034477710723876953
26,0.9285714285714286,0.18243122100830078,0.008138418197631836
27,0.9523809523809523,0.19341802597045898,0.000985860824584961
28,1.0,0.1788468360900879,0.0
29,0.9523809523809523,0.17472171783447266,0.002129077911376953
30,0.9285714285714286,0.17206120491027832,0.0
31,0.9047619047619048,0.20398306846618652,0.0
32,1.0,0.18207550048828125,0.0
33,0.9285714285714286,0.18433046340942383,0.0011038780212402344
34,0.9285714285714286,0.19061636924743652,0.001001119613647461
35,0.9523809523809523,0.19608402252197266,0.000989675521850586
36,0.9523809523809523,0.17900347709655762,0.0
37,0.8809523809523809,0.18969488143920898,0.0
38,0.9047619047619048,0.17026567459106445,0.0
39,0.9523809523809523,0.19365215301513672,0.0010747909545898438
40,1.0,0.1881871223449707,0.0
41,0.9285714285714286,0.16340041160583496,0.0
42,0.9523809523809523,0.17648696899414062,0.0
43,0.9761904761904762,0.17690730094909668,0.0
44,0.9285714285714286,0.17167329788208008,0.0
45,1.0,0.15966296195983887,0.0
46,0.9285714285714286,0.18903803825378418,0.0
47,0.9285714285714286,0.17026972770690918,0.0
48,0.9761904761904762,0.16608285903930664,0.0
49,1.0,0.17271757125854492,0.0
50,0.9285714285714286,0.17479491233825684,0.0
