fold,accuracy,training_time,prediction_time,learning_rate,max_depth,n_estimators
1,0.9285714285714286,21.551480054855347,0.0,0.2,3,50
2,0.7857142857142857,16.334818601608276,0.0,0.2,3,50
3,0.8333333333333334,16.49666428565979,0.0,0.1,3,50
4,0.9523809523809523,21.42122721672058,0.003759145736694336,0.2,5,200
5,0.9523809523809523,21.23500967025757,0.00796651840209961,0.2,5,50
6,0.9047619047619048,20.82616639137268,0.0,0.2,3,50
7,0.7619047619047619,16.612110376358032,0.0,0.1,3,100
8,0.8095238095238095,19.69411277770996,0.0,0.2,3,200
9,0.9523809523809523,21.002540826797485,0.0,0.1,3,100
10,0.9047619047619048,16.485174655914307,0.004498481750488281,0.01,3,50
11,0.9285714285714286,15.552229881286621,0.0,0.1,3,100
12,0.8095238095238095,14.236109733581543,0.0,0.01,3,50
13,0.7857142857142857,14.403684616088867,0.0,0.2,3,50
14,0.8809523809523809,15.646404027938843,0.0,0.2,5,100
15,0.8571428571428571,15.705355882644653,0.0,0.2,5,100
16,0.8809523809523809,15.810494899749756,0.0,0.2,5,200
17,0.9285714285714286,15.732361316680908,0.005067586898803711,0.1,3,50
18,0.9047619047619048,14.655113220214844,0.0,0.1,3,100
19,0.8571428571428571,15.023995637893677,0.0,0.1,3,200
20,0.8809523809523809,14.312670946121216,0.002780437469482422,0.1,3,50
21,0.8571428571428571,15.216732025146484,0.008610725402832031,0.1,5,100
22,0.8333333333333334,14.979976892471313,0.0,0.1,5,200
23,0.8571428571428571,14.761346340179443,0.0,0.1,3,100
24,0.8095238095238095,14.287835836410522,0.0035359859466552734,0.1,3,50
25,1.0,16.74972701072693,0.0,0.1,5,200
26,0.8571428571428571,15.999654054641724,0.0,0.1,7,200
27,0.8571428571428571,14.221812009811401,0.0010097026824951172,0.01,3,200
28,0.8095238095238095,15.52952241897583,0.0,0.1,3,200
29,0.9285714285714286,16.0430428981781,0.007909536361694336,0.1,5,200
30,0.8333333333333334,14.019505023956299,0.0,0.1,3,100
31,0.9047619047619048,15.240148544311523,0.002012014389038086,0.1,3,100
32,0.8809523809523809,15.640735626220703,0.0,0.2,5,100
33,0.8571428571428571,15.673609733581543,0.0,0.1,5,200
34,0.8333333333333334,13.329140901565552,0.007990121841430664,0.2,5,100
35,0.8809523809523809,16.359586000442505,0.0027959346771240234,0.1,5,200
36,0.7857142857142857,12.67899465560913,0.0,0.1,3,50
37,0.8333333333333334,15.454264879226685,0.0,0.1,3,200
38,0.9761904761904762,15.534486293792725,0.0020291805267333984,0.2,5,100
39,0.9285714285714286,15.864778280258179,0.0049097537994384766,0.1,5,100
40,0.8571428571428571,15.463821649551392,0.0061893463134765625,0.2,5,100
41,0.8809523809523809,15.659761190414429,0.002496004104614258,0.01,3,200
42,0.7619047619047619,13.914308547973633,0.0016489028930664062,0.2,3,50
43,0.9285714285714286,15.583556652069092,0.0,0.1,3,50
44,0.9047619047619048,15.39607310295105,0.0024271011352539062,0.2,3,50
45,0.8571428571428571,14.87216567993164,0.002603769302368164,0.2,3,200
46,0.9047619047619048,15.564274072647095,0.0020117759704589844,0.1,3,100
47,0.8333333333333334,14.638612031936646,0.0014765262603759766,0.01,3,50
48,0.8571428571428571,15.611788749694824,0.0020792484283447266,0.01,3,100
49,0.9285714285714286,14.670219898223877,0.0,0.1,3,50
50,0.8333333333333334,14.020097732543945,0.0013661384582519531,0.1,3,200
