fold,accuracy,training_time,prediction_time,var_smoothing
1,0.813953488372093,5.169748544692993,0.0,0.1
2,0.7380952380952381,0.08781862258911133,0.0,0.1
3,0.7380952380952381,0.09976339340209961,0.0,0.01
4,0.8095238095238095,0.08878850936889648,0.0,0.001
5,0.7619047619047619,0.09924173355102539,0.0,0.1
6,0.7906976744186046,0.09502553939819336,0.0,0.001
7,0.6666666666666666,0.10670113563537598,0.0,0.1
8,0.7857142857142857,0.09675812721252441,0.0,0.0001
9,0.9047619047619048,0.07608842849731445,0.0,1e-07
10,0.8809523809523809,0.07489800453186035,0.0,0.1
11,0.7674418604651163,0.08507299423217773,0.0,0.1
12,0.7857142857142857,0.08019256591796875,0.0,1e-09
13,0.7857142857142857,0.0780186653137207,0.0,0.1
14,0.8571428571428571,0.09032464027404785,0.0,0.1
15,0.8333333333333334,0.08980631828308105,0.0,0.1
16,0.7209302325581395,0.08578658103942871,0.0,1e-08
17,0.8571428571428571,0.0735783576965332,0.0010373592376708984,0.1
18,0.7619047619047619,0.07726263999938965,0.0,1e-09
19,0.8095238095238095,0.09613800048828125,0.0,0.01
20,0.7857142857142857,0.08980917930603027,0.0,0.1
21,0.813953488372093,0.08373165130615234,0.0,0.1
22,0.8095238095238095,0.07645034790039062,0.0,1e-07
23,0.7380952380952381,0.07404518127441406,0.0,0.1
24,0.7142857142857143,0.09211516380310059,0.0,0.1
25,0.8333333333333334,0.08551740646362305,0.0,0.01
26,0.8837209302325582,0.06992435455322266,0.002011537551879883,0.1
27,0.7619047619047619,0.07833361625671387,0.0,1e-07
28,0.7619047619047619,0.07179141044616699,0.0,0.01
29,0.8095238095238095,0.07326793670654297,0.002903461456298828,0.1
30,0.8571428571428571,0.07597517967224121,0.0,0.1
31,0.6976744186046512,0.08979344367980957,0.0,0.001
32,0.8809523809523809,0.07410860061645508,0.0,0.1
33,0.7619047619047619,0.08010983467102051,0.0,0.01
34,0.8095238095238095,0.07150101661682129,0.0,0.1
35,0.7857142857142857,0.09544682502746582,0.0,0.1
36,0.7906976744186046,0.07523655891418457,0.0,0.01
37,0.6190476190476191,0.10498428344726562,0.0,0.1
38,0.8333333333333334,0.07997727394104004,0.0,1e-06
39,0.8571428571428571,0.07999110221862793,0.0,1e-08
40,0.8571428571428571,0.08032488822937012,0.0,0.1
41,0.7674418604651163,0.09000968933105469,0.0,0.01
42,0.7857142857142857,0.07382678985595703,0.0,0.1
43,0.7142857142857143,0.08715987205505371,0.0,1e-07
44,0.9285714285714286,0.08086872100830078,0.0,0.1
45,0.7857142857142857,0.08016300201416016,0.0,0.01
46,0.8372093023255814,0.08681583404541016,0.0,0.1
47,0.8333333333333334,0.08770012855529785,0.0,0.01
48,0.7857142857142857,0.08140969276428223,0.0,1e-07
49,0.7857142857142857,0.08677959442138672,0.0,0.1
50,0.7619047619047619,0.09882235527038574,0.0,0.1
