fold,accuracy,training_time,prediction_time,var_smoothing
1,0.8809523809523809,0.08756351470947266,0.001007080078125,0.001
2,0.7619047619047619,0.05842924118041992,0.0,0.001
3,0.8809523809523809,0.057763099670410156,0.0009992122650146484,0.01
4,0.9047619047619048,0.057676076889038086,0.0,0.01
5,0.7619047619047619,0.05796360969543457,0.0007100105285644531,0.01
6,0.8333333333333334,0.050177574157714844,0.0,0.001
7,0.7142857142857143,0.04949450492858887,0.0,0.001
8,0.8333333333333334,0.04856109619140625,0.0,1e-06
9,0.8571428571428571,0.06678223609924316,0.0,1e-05
10,0.8333333333333334,0.048038482666015625,0.0,0.0001
11,0.9047619047619048,0.04841923713684082,0.0,0.01
12,0.8095238095238095,0.05033993721008301,0.0,0.01
13,0.6904761904761905,0.04939150810241699,0.0,0.001
14,0.8571428571428571,0.06066751480102539,0.0,0.001
15,0.8571428571428571,0.07658028602600098,0.0,0.0001
16,0.8333333333333334,0.08080339431762695,0.0,0.01
17,0.9285714285714286,0.05427193641662598,0.0,0.01
18,0.7857142857142857,0.04792499542236328,0.0,1e-06
19,0.8095238095238095,0.06715893745422363,0.002032041549682617,0.01
20,0.8571428571428571,0.06564712524414062,0.0,0.0001
21,0.8571428571428571,0.04193377494812012,0.0,1e-09
22,0.7619047619047619,0.05988764762878418,0.0,0.001
23,0.8809523809523809,0.06016826629638672,0.0,0.0001
24,0.8333333333333334,0.08062124252319336,0.0,1e-08
25,0.8333333333333334,0.05846571922302246,0.0,0.0001
26,0.8333333333333334,0.06125640869140625,0.0,0.0001
27,0.8333333333333334,0.06696844100952148,0.0,0.01
28,0.7857142857142857,0.0798187255859375,0.0,0.001
29,0.8571428571428571,0.06340599060058594,0.0,0.0001
30,0.7619047619047619,0.0635995864868164,0.0,1e-05
31,0.8333333333333334,0.08462953567504883,0.0,0.01
32,0.7619047619047619,0.07520532608032227,0.0,0.01
33,0.8809523809523809,0.06363415718078613,0.0,0.001
34,0.8333333333333334,0.06020951271057129,0.0,0.01
35,0.8571428571428571,0.07242941856384277,0.0005764961242675781,1e-09
36,0.7857142857142857,0.053766727447509766,0.0,0.01
37,0.7619047619047619,0.056427001953125,0.0,0.1
38,0.8333333333333334,0.04742693901062012,0.0,1e-06
39,0.9047619047619048,0.06270980834960938,0.0029754638671875,0.01
40,0.8095238095238095,0.0645298957824707,0.0,0.0001
41,0.9047619047619048,0.07122111320495605,0.0,0.1
42,0.7619047619047619,0.04725050926208496,0.0,0.01
43,0.8333333333333334,0.05497574806213379,0.002580404281616211,0.001
44,0.8333333333333334,0.06505584716796875,0.0,0.01
45,0.7619047619047619,0.05986738204956055,0.0,0.01
46,0.7619047619047619,0.038242340087890625,0.0,0.01
47,0.8571428571428571,0.04787778854370117,0.0,0.01
48,0.8809523809523809,0.06398797035217285,0.0,0.01
49,0.8809523809523809,0.05013728141784668,0.0,0.01
50,0.8333333333333334,0.05371594429016113,0.0,1e-09
