fold,accuracy,training_time,prediction_time,var_smoothing
1,0.8648648648648649,0.06636667251586914,0.0,0.01
2,0.8108108108108109,0.05057883262634277,0.0,0.01
3,0.8611111111111112,0.05864310264587402,0.0,0.01
4,0.9166666666666666,0.059847354888916016,0.0,0.1
5,0.8333333333333334,0.057525634765625,0.0,0.01
6,0.7297297297297297,0.05272412300109863,0.0,0.1
7,0.8648648648648649,0.05660223960876465,0.0,0.0001
8,0.8055555555555556,0.05854916572570801,0.0,0.1
9,0.8611111111111112,0.05594992637634277,0.0,0.01
10,0.8888888888888888,0.05057716369628906,0.0,0.1
11,0.8378378378378378,0.04979896545410156,0.0,0.01
12,0.8108108108108109,0.04979062080383301,0.0,1e-07
13,0.75,0.06612682342529297,0.0020439624786376953,1e-07
14,0.6666666666666666,0.04810953140258789,0.0,0.001
15,0.75,0.04982566833496094,0.0,1e-05
16,0.5945945945945946,0.054537057876586914,0.0,1e-06
17,0.8648648648648649,0.055815935134887695,0.0,1e-05
18,0.75,0.04888629913330078,0.0,1e-05
19,0.8055555555555556,0.05408787727355957,0.0,0.0001
20,0.8611111111111112,0.04524660110473633,0.0,1e-07
21,0.7567567567567568,0.05793929100036621,0.0,1e-05
22,0.8378378378378378,0.05019950866699219,0.0,0.1
23,0.8055555555555556,0.04987597465515137,0.0,1e-08
24,0.8888888888888888,0.04996085166931152,0.0,0.01
25,0.8055555555555556,0.05833268165588379,0.0,0.001
26,0.8918918918918919,0.05845928192138672,0.0,0.1
27,0.8378378378378378,0.05003643035888672,0.0,0.0001
28,0.8333333333333334,0.05464529991149902,0.0003535747528076172,0.1
29,0.75,0.06133222579956055,0.0,1.0
30,0.6666666666666666,0.05190539360046387,0.0,0.0001
31,0.8648648648648649,0.04795193672180176,0.0,0.0001
32,0.8648648648648649,0.05787324905395508,0.0,1e-07
33,0.6666666666666666,0.05836629867553711,0.0,0.1
34,0.8333333333333334,0.05045795440673828,0.0,0.1
35,0.8888888888888888,0.04946541786193848,0.0,0.1
36,0.8378378378378378,0.05829787254333496,0.0,0.0001
37,0.8918918918918919,0.050580501556396484,0.0,1e-06
38,0.8333333333333334,0.049010515213012695,0.0,0.01
39,0.7777777777777778,0.05728912353515625,0.0,0.01
40,0.7777777777777778,0.04985523223876953,0.0,1e-09
41,0.6756756756756757,0.05900430679321289,0.0,0.1
42,0.7297297297297297,0.05093812942504883,0.0,1.0
43,0.8611111111111112,0.06553530693054199,0.0,0.1
44,0.8611111111111112,0.04874730110168457,0.0,0.001
45,0.8611111111111112,0.04785323143005371,0.0,0.01
46,0.918918918918919,0.05239152908325195,0.0,1e-06
47,0.7837837837837838,0.05124402046203613,0.0,1e-06
48,0.8055555555555556,0.05756235122680664,0.0,0.1
49,0.7222222222222222,0.056571245193481445,0.0,0.01
50,0.8611111111111112,0.05584836006164551,0.0,1e-09
