Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
1,0.7441860465116279,0.00200653076171875,0.0,1.553793501847605e-11,0.3392857142857143,0.34523809523809523,0.31547619047619047
2,0.7619047619047619,0.0,0.0,1.485890253058804e-11,0.3136094674556213,0.33727810650887574,0.34911242603550297
3,0.7142857142857143,0.0057773590087890625,0.0009784698486328125,1.4353146658234505e-11,0.35502958579881655,0.31952662721893493,0.3254437869822485
4,0.8095238095238095,0.0010721683502197266,0.0,1.5322310265099706e-11,0.3431952662721893,0.3431952662721893,0.3136094674556213
5,0.7619047619047619,0.0020160675048828125,0.0,1.504687367247828e-11,0.35502958579881655,0.33727810650887574,0.3076923076923077
6,0.7906976744186046,0.0,0.0,1.521741938937372e-11,0.3273809523809524,0.3273809523809524,0.34523809523809523
7,0.5714285714285714,0.0,0.0,1.4455737498233649e-11,0.28994082840236685,0.3609467455621302,0.34911242603550297
8,0.7857142857142857,0.0009827613830566406,0.0,1.4506233816831425e-11,0.34911242603550297,0.3254437869822485,0.3254437869822485
9,0.9047619047619048,0.0,0.0,1.537710680269005e-11,0.378698224852071,0.33136094674556216,0.28994082840236685
10,0.8809523809523809,0.0,0.0,1.5504211119816617e-11,0.3609467455621302,0.33727810650887574,0.30177514792899407
11,0.7674418604651163,0.0020074844360351562,0.0,1.540643252686181e-11,0.30952380952380953,0.36904761904761907,0.32142857142857145
12,0.7857142857142857,0.0,0.0,1.4698856645451084e-11,0.33727810650887574,0.33136094674556216,0.33136094674556216
13,0.7857142857142857,0.0007245540618896484,0.0,1.4761871632099746e-11,0.35502958579881655,0.33136094674556216,0.3136094674556213
14,0.8333333333333334,0.0,0.0,1.519857945523053e-11,0.3668639053254438,0.3136094674556213,0.31952662721893493
15,0.7619047619047619,0.0,0.0,1.5045407945772037e-11,0.33727810650887574,0.33727810650887574,0.3254437869822485
16,0.7209302325581395,0.0,0.002028226852416992,1.4439870662464916e-11,0.35714285714285715,0.31547619047619047,0.3273809523809524
17,0.9285714285714286,0.0006771087646484375,0.0,1.582101328659079e-11,0.33727810650887574,0.3727810650887574,0.28994082840236685
18,0.7619047619047619,0.0,0.0,1.517212257446941e-11,0.33727810650887574,0.3254437869822485,0.33727810650887574
19,0.8095238095238095,0.0,0.0,1.49041723985675e-11,0.31952662721893493,0.33727810650887574,0.3431952662721893
20,0.8333333333333334,0.0,0.0,1.4707357285376125e-11,0.35502958579881655,0.33136094674556216,0.3136094674556213
