Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
1,0.8648648648648649,0.0033948421478271484,0.0,1.3432133108950872e-11,0.35172413793103446,0.4,0.2482758620689655
2,0.8378378378378378,0.0010094642639160156,0.0,1.2460124570705304e-11,0.4,0.36551724137931035,0.23448275862068965
3,0.8333333333333334,0.0016336441040039062,0.0,1.2571010645406266e-11,0.3904109589041096,0.3698630136986301,0.23972602739726026
4,0.8055555555555556,0.0,0.0008995532989501953,1.3127780276951065e-11,0.3835616438356164,0.3972602739726027,0.2191780821917808
5,0.8333333333333334,0.0,0.0,1.2938860069651109e-11,0.3972602739726027,0.3904109589041096,0.21232876712328766
6,0.8378378378378378,0.0,0.0,1.2273750104464434e-11,0.3310344827586207,0.4068965517241379,0.2620689655172414
7,0.8648648648648649,0.0026352405548095703,0.0,1.2997834157313376e-11,0.3931034482758621,0.38620689655172413,0.2206896551724138
8,0.8888888888888888,0.0,0.0,1.3082775565324727e-11,0.3767123287671233,0.3698630136986301,0.2534246575342466
9,0.8333333333333334,0.0005049705505371094,0.0,1.2978732187026842e-11,0.410958904109589,0.3835616438356164,0.2054794520547945
10,0.8055555555555556,0.0,0.001068115234375,1.3156306696330593e-11,0.410958904109589,0.3767123287671233,0.21232876712328766
11,0.8378378378378378,0.0011093616485595703,0.0,1.2998064873358727e-11,0.38620689655172413,0.4206896551724138,0.19310344827586207
12,0.8108108108108109,0.0010035037994384766,0.0,1.3569534499940063e-11,0.3724137931034483,0.41379310344827586,0.21379310344827587
13,0.75,0.0,0.0,1.2539470384841145e-11,0.4041095890410959,0.3561643835616438,0.23972602739726026
14,0.6666666666666666,0.0006911754608154297,0.0,1.2327888592777528e-11,0.3835616438356164,0.3561643835616438,0.2602739726027397
15,0.75,0.001119852066040039,0.0,1.280288939827534e-11,0.3767123287671233,0.3767123287671233,0.2465753424657534
16,0.5945945945945946,0.0009992122650146484,0.0,1.2235046103424748e-11,0.3724137931034483,0.3793103448275862,0.2482758620689655
17,0.8648648648648649,0.0,0.0,1.3351028166478729e-11,0.3793103448275862,0.4,0.2206896551724138
18,0.6944444444444444,0.0,0.0,1.3048931545531044e-11,0.3835616438356164,0.3972602739726027,0.2191780821917808
19,0.8055555555555556,0.00099945068359375,0.0,1.284401015056925e-11,0.3767123287671233,0.3972602739726027,0.22602739726027396
20,0.8611111111111112,0.0,0.0,1.307039359076082e-11,0.410958904109589,0.3493150684931507,0.23972602739726026
21,0.7567567567567568,0.0010061264038085938,0.0,1.2818557436195907e-11,0.38620689655172413,0.3793103448275862,0.23448275862068965
22,0.8378378378378378,0.0009987354278564453,0.0,1.2945372267266935e-11,0.3931034482758621,0.3724137931034483,0.23448275862068965
23,0.8055555555555556,0.0,0.0,1.2972243658863023e-11,0.3835616438356164,0.3835616438356164,0.2328767123287671
24,0.8888888888888888,0.0007534027099609375,0.0,1.3496106170295464e-11,0.3767123287671233,0.4041095890410959,0.2191780821917808
25,0.7222222222222222,0.0,0.0010619163513183594,1.2468257545266702e-11,0.3835616438356164,0.3835616438356164,0.2328767123287671
