Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
1,0.9285714285714286,0.0,0.0,1.5659625040055792e-11,0.32142857142857145,0.35714285714285715,0.32142857142857145
2,0.8571428571428571,0.00603938102722168,0.0,1.3973768628379983e-11,0.32142857142857145,0.31547619047619047,0.3630952380952381
3,0.8571428571428571,0.0012478828430175781,0.0,1.4389357943242927e-11,0.34523809523809523,0.32142857142857145,0.3333333333333333
4,0.8333333333333334,0.0,0.0,1.5181693855302974e-11,0.3333333333333333,0.3392857142857143,0.3273809523809524
5,0.9285714285714286,0.002126932144165039,0.0,1.4855735139771607e-11,0.34523809523809523,0.3333333333333333,0.32142857142857145
6,0.8809523809523809,0.0,0.0,1.5298176468221875e-11,0.31547619047619047,0.3333333333333333,0.35119047619047616
7,0.7142857142857143,0.0,0.0,1.4296449011810577e-11,0.27976190476190477,0.35714285714285715,0.3630952380952381
8,0.8571428571428571,0.0040416717529296875,0.0,1.4587716858952107e-11,0.3392857142857143,0.31547619047619047,0.34523809523809523
9,0.9761904761904762,0.0015497207641601562,0.0005137920379638672,1.5028651485861964e-11,0.375,0.3273809523809524,0.2976190476190476
10,0.9285714285714286,0.0,0.0,1.4930896495936954e-11,0.35714285714285715,0.3333333333333333,0.30952380952380953
11,0.9523809523809523,0.0,0.0,1.531307060123914e-11,0.30357142857142855,0.3630952380952381,0.3333333333333333
12,0.8571428571428571,0.0020155906677246094,0.0,1.4697836915711782e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,0.8095238095238095,0.0,0.0,1.455570462389003e-11,0.34523809523809523,0.3273809523809524,0.3273809523809524
14,0.9047619047619048,0.0,0.0,1.464907021044056e-11,0.35714285714285715,0.30357142857142855,0.3392857142857143
15,0.8809523809523809,0.0046672821044921875,0.0,1.4883861608582707e-11,0.3273809523809524,0.3392857142857143,0.3333333333333333
16,0.9047619047619048,0.0015764236450195312,0.0,1.4397565418992426e-11,0.34523809523809523,0.31547619047619047,0.3392857142857143
17,0.8571428571428571,0.0,0.0,1.5143831749168085e-11,0.3273809523809524,0.3630952380952381,0.30952380952380953
18,0.8809523809523809,0.0,0.0,1.4971384691196086e-11,0.3273809523809524,0.3273809523809524,0.34523809523809523
19,0.8809523809523809,0.0020148754119873047,0.0,1.5243619710676216e-11,0.3273809523809524,0.32142857142857145,0.35119047619047616
20,0.8095238095238095,0.0,0.0,1.4239472048768535e-11,0.3392857142857143,0.3392857142857143,0.32142857142857145
21,0.8571428571428571,0.0023996829986572266,0.0,1.4456228863473215e-11,0.32142857142857145,0.31547619047619047,0.3630952380952381
22,0.8571428571428571,0.0015125274658203125,0.0,1.5022982156947236e-11,0.34523809523809523,0.3333333333333333,0.32142857142857145
23,0.8809523809523809,0.0018992424011230469,0.0009851455688476562,1.4631869362976887e-11,0.3333333333333333,0.35119047619047616,0.31547619047619047
24,0.5714285714285714,0.0,0.0015788078308105469,1.4363757176692934e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
25,0.9761904761904762,0.0,0.0,1.5518912072169247e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
26,0.8571428571428571,0.0,0.0,1.4459703040011892e-11,0.36904761904761907,0.30952380952380953,0.32142857142857145
27,0.9047619047619048,0.0,0.0,1.49342352110032e-11,0.3333333333333333,0.34523809523809523,0.32142857142857145
28,0.8809523809523809,0.0,0.0,1.535384775675955e-11,0.2916666666666667,0.3630952380952381,0.34523809523809523
29,0.8095238095238095,0.0019245147705078125,0.0,1.48607595491364e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
30,0.9285714285714286,0.0013513565063476562,0.0,1.45897144479607e-11,0.3392857142857143,0.31547619047619047,0.34523809523809523
31,0.9047619047619048,0.0,0.0,1.5063744907977176e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
32,0.9285714285714286,0.0056035518646240234,0.0,1.530324696390871e-11,0.32142857142857145,0.35119047619047616,0.3273809523809524
33,0.8571428571428571,0.0014290809631347656,0.0,1.4688447010706617e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
34,0.8333333333333334,0.0,0.0,1.4007043530050525e-11,0.34523809523809523,0.3333333333333333,0.32142857142857145
35,0.9523809523809523,0.002244710922241211,0.0,1.5133196633274178e-11,0.3333333333333333,0.31547619047619047,0.35119047619047616
36,0.7380952380952381,0.0,0.0,1.4325304585866507e-11,0.3392857142857143,0.32142857142857145,0.3392857142857143
37,0.9523809523809523,0.0,0.0,1.5080011562701022e-11,0.30952380952380953,0.35119047619047616,0.3392857142857143
38,0.9285714285714286,0.0,0.0,1.4734853122729237e-11,0.32142857142857145,0.3273809523809524,0.35119047619047616
39,0.8571428571428571,0.005910158157348633,0.0,1.450587560853546e-11,0.35714285714285715,0.31547619047619047,0.3273809523809524
40,0.8333333333333334,0.0,0.0,1.5440883431353987e-11,0.3392857142857143,0.35119047619047616,0.30952380952380953
41,0.9047619047619048,0.0027751922607421875,0.0,1.5040607147843854e-11,0.3333333333333333,0.31547619047619047,0.35119047619047616
42,0.7857142857142857,0.0,0.0,1.4564414074007902e-11,0.31547619047619047,0.34523809523809523,0.3392857142857143
43,0.8571428571428571,0.0,0.0,1.4423962199613613e-11,0.3273809523809524,0.3273809523809524,0.34523809523809523
44,1.0,0.0,0.0,1.5029878189899417e-11,0.35119047619047616,0.3392857142857143,0.30952380952380953
45,0.8571428571428571,0.003992557525634766,0.0007719993591308594,1.499228784122816e-11,0.3392857142857143,0.3392857142857143,0.32142857142857145
46,0.8809523809523809,0.0,0.001516580581665039,1.4968147661844926e-11,0.3333333333333333,0.35714285714285715,0.30952380952380953
47,0.9285714285714286,0.0,0.0014493465423583984,1.4752103058309318e-11,0.3273809523809524,0.32142857142857145,0.35119047619047616
48,0.9047619047619048,0.0,0.0,1.5063728404573457e-11,0.3392857142857143,0.3333333333333333,0.3273809523809524
49,0.8809523809523809,0.002015352249145508,0.0,1.4451023407960045e-11,0.34523809523809523,0.3392857142857143,0.31547619047619047
50,0.8809523809523809,0.0,0.0,1.4856537682185085e-11,0.32142857142857145,0.31547619047619047,0.3630952380952381
