fold,accuracy,n_components,shrinkage,solver,store_covariance,tol
1,0.7380952380952381,1,auto,lsqr,True,0.0001
2,0.42857142857142855,1,1.0,lsqr,True,0.0001
3,0.5476190476190477,1,auto,lsqr,True,0.0001
4,0.6190476190476191,1,auto,lsqr,True,0.0001
5,0.6666666666666666,1,0.5,lsqr,True,0.0001
6,0.6190476190476191,1,auto,lsqr,True,0.0001
7,0.5,1,0.1,lsqr,True,0.0001
8,0.5714285714285714,1,0.5,lsqr,True,0.0001
9,0.7380952380952381,1,0.1,lsqr,True,0.0001
10,0.6190476190476191,1,0.5,lsqr,True,0.0001
11,0.7619047619047619,1,auto,lsqr,True,0.0001
12,0.6428571428571429,1,0.5,lsqr,True,0.0001
13,0.6190476190476191,1,auto,lsqr,True,0.0001
14,0.5714285714285714,1,0.1,lsqr,True,0.0001
15,0.5,1,,svd,True,0.0001
16,0.6428571428571429,1,1.0,lsqr,True,0.0001
17,0.6666666666666666,1,0.5,lsqr,True,0.0001
18,0.6428571428571429,1,0.1,lsqr,True,0.0001
19,0.5,1,auto,lsqr,True,0.0001
20,0.6190476190476191,1,1.0,lsqr,True,0.0001
21,0.6904761904761905,1,0.5,lsqr,True,0.0001
22,0.6666666666666666,1,1.0,lsqr,True,0.0001
23,0.5238095238095238,1,0.5,lsqr,True,0.0001
24,0.5714285714285714,1,0.5,lsqr,True,0.0001
25,0.6428571428571429,1,auto,lsqr,True,0.0001
26,0.6666666666666666,1,0.5,lsqr,True,0.0001
27,0.5714285714285714,1,auto,lsqr,True,0.0001
28,0.5714285714285714,1,1.0,lsqr,True,0.0001
29,0.5238095238095238,1,1.0,lsqr,True,0.0001
30,0.7142857142857143,1,auto,lsqr,True,0.0001
31,0.5238095238095238,1,auto,lsqr,True,0.0001
32,0.6190476190476191,1,1.0,lsqr,True,0.0001
33,0.6666666666666666,1,0.1,lsqr,True,0.0001
34,0.6666666666666666,1,0.5,lsqr,True,0.0001
35,0.42857142857142855,1,0.5,lsqr,True,0.0001
36,0.6666666666666666,1,0.5,lsqr,True,0.0001
37,0.5238095238095238,1,0.1,lsqr,True,0.0001
38,0.5,1,auto,lsqr,True,0.0001
39,0.7619047619047619,1,0.5,lsqr,True,0.0001
40,0.6428571428571429,1,0.5,lsqr,True,0.0001
41,0.6190476190476191,1,auto,lsqr,True,0.0001
42,0.5952380952380952,1,auto,lsqr,True,0.0001
43,0.6190476190476191,1,auto,lsqr,True,0.0001
44,0.6666666666666666,1,0.5,lsqr,True,0.0001
45,0.5714285714285714,1,0.5,lsqr,True,0.0001
46,0.5952380952380952,1,auto,lsqr,True,0.0001
47,0.6428571428571429,1,0.5,lsqr,True,0.0001
48,0.6428571428571429,1,1.0,lsqr,True,0.0001
49,0.6190476190476191,1,0.1,lsqr,True,0.0001
50,0.5476190476190477,1,auto,lsqr,True,0.0001
