fold,accuracy,n_components,shrinkage,solver,store_covariance,tol
1,0.8378378378378378,1,,svd,True,0.0001
2,0.7297297297297297,1,0.1,lsqr,True,0.0001
3,0.8055555555555556,1,auto,lsqr,True,0.0001
4,0.8333333333333334,1,auto,lsqr,True,0.0001
5,0.8888888888888888,1,0.1,lsqr,True,0.0001
6,0.6756756756756757,1,,lsqr,True,0.0001
7,0.8108108108108109,1,0.1,lsqr,True,0.0001
8,0.8333333333333334,1,auto,lsqr,True,0.0001
9,0.9166666666666666,1,auto,lsqr,True,0.0001
10,0.8611111111111112,1,0.1,lsqr,True,0.0001
11,0.7567567567567568,1,0.1,lsqr,True,0.0001
12,0.8918918918918919,1,0.1,lsqr,True,0.0001
13,0.8611111111111112,1,0.1,lsqr,True,0.0001
14,0.7777777777777778,1,auto,lsqr,True,0.0001
15,0.8055555555555556,1,0.1,lsqr,True,0.0001
16,0.8378378378378378,1,,svd,True,0.0001
17,0.8918918918918919,1,0.1,lsqr,True,0.0001
18,0.8611111111111112,1,auto,lsqr,True,0.0001
19,0.6666666666666666,1,0.1,lsqr,True,0.0001
20,0.8888888888888888,1,,svd,True,0.0001
21,0.8648648648648649,1,,svd,True,0.0001
22,0.8378378378378378,1,0.1,lsqr,True,0.0001
23,0.75,1,auto,lsqr,True,0.0001
24,0.8333333333333334,1,0.1,lsqr,True,0.0001
25,0.8333333333333334,1,auto,lsqr,True,0.0001
26,0.8918918918918919,1,auto,lsqr,True,0.0001
27,0.8378378378378378,1,0.1,lsqr,True,0.0001
28,0.8611111111111112,1,auto,lsqr,True,0.0001
29,0.8055555555555556,1,auto,lsqr,True,0.0001
30,0.7222222222222222,1,auto,lsqr,True,0.0001
31,0.8378378378378378,1,0.1,lsqr,True,0.0001
32,0.8378378378378378,1,auto,lsqr,True,0.0001
33,0.6944444444444444,1,0.1,lsqr,True,0.0001
34,0.8333333333333334,1,,svd,True,0.0001
35,0.9444444444444444,1,,svd,True,0.0001
36,0.8108108108108109,1,auto,lsqr,True,0.0001
37,0.8108108108108109,1,auto,lsqr,True,0.0001
38,0.6944444444444444,1,,svd,True,0.0001
39,0.8333333333333334,1,auto,lsqr,True,0.0001
40,0.8611111111111112,1,0.1,lsqr,True,0.0001
41,0.8108108108108109,1,0.1,lsqr,True,0.0001
42,0.7567567567567568,1,auto,lsqr,True,0.0001
43,0.8055555555555556,1,,lsqr,True,0.0001
44,0.9166666666666666,1,0.1,lsqr,True,0.0001
45,0.8611111111111112,1,,svd,True,0.0001
46,0.8108108108108109,1,auto,lsqr,True,0.0001
47,0.8918918918918919,1,auto,lsqr,True,0.0001
48,0.8333333333333334,1,auto,lsqr,True,0.0001
49,0.6944444444444444,1,auto,lsqr,True,0.0001
50,0.8611111111111112,1,,svd,True,0.0001
