fold,accuracy,n_components,shrinkage,solver,store_covariance,tol
1,0.9047619047619048,1,,svd,True,0.0001
2,0.7142857142857143,1,0.5,lsqr,True,0.0001
3,0.8333333333333334,1,,svd,True,0.0001
4,0.8571428571428571,1,auto,lsqr,True,0.0001
5,0.8571428571428571,1,0.1,lsqr,True,0.0001
6,0.8095238095238095,1,0.1,lsqr,True,0.0001
7,0.6904761904761905,1,,svd,True,0.0001
8,0.8095238095238095,1,0.1,lsqr,True,0.0001
9,0.9285714285714286,1,0.1,lsqr,True,0.0001
10,0.8809523809523809,1,auto,lsqr,True,0.0001
11,0.8333333333333334,1,0.1,lsqr,True,0.0001
12,0.7857142857142857,1,auto,lsqr,True,0.0001
13,0.8095238095238095,1,,svd,True,0.0001
14,0.9523809523809523,1,0.1,lsqr,True,0.0001
15,0.8571428571428571,1,0.1,lsqr,True,0.0001
16,0.8571428571428571,1,0.1,lsqr,True,0.0001
17,0.8571428571428571,1,0.1,lsqr,True,0.0001
18,0.9047619047619048,1,,svd,True,0.0001
19,0.8333333333333334,1,auto,lsqr,True,0.0001
20,0.8333333333333334,1,auto,lsqr,True,0.0001
21,0.7619047619047619,1,auto,lsqr,True,0.0001
22,0.8809523809523809,1,,svd,True,0.0001
23,0.8333333333333334,1,,svd,True,0.0001
24,0.8333333333333334,1,0.1,lsqr,True,0.0001
25,0.8809523809523809,1,,svd,True,0.0001
26,0.8333333333333334,1,0.1,lsqr,True,0.0001
27,0.8095238095238095,1,auto,lsqr,True,0.0001
28,0.8095238095238095,1,,svd,True,0.0001
29,0.9047619047619048,1,auto,lsqr,True,0.0001
30,0.8809523809523809,1,0.1,lsqr,True,0.0001
31,0.9047619047619048,1,,svd,True,0.0001
32,0.8333333333333334,1,0.5,lsqr,True,0.0001
33,0.8571428571428571,1,,svd,True,0.0001
34,0.7380952380952381,1,auto,lsqr,True,0.0001
35,0.9285714285714286,1,auto,lsqr,True,0.0001
36,0.8095238095238095,1,auto,lsqr,True,0.0001
37,0.8095238095238095,1,auto,lsqr,True,0.0001
38,0.8333333333333334,1,auto,lsqr,True,0.0001
39,0.9047619047619048,1,,svd,True,0.0001
40,0.9047619047619048,1,,svd,True,0.0001
41,0.9285714285714286,1,0.1,lsqr,True,0.0001
42,0.6904761904761905,1,,svd,True,0.0001
43,0.8095238095238095,1,0.5,lsqr,True,0.0001
44,0.9523809523809523,1,0.1,lsqr,True,0.0001
45,0.8809523809523809,1,auto,lsqr,True,0.0001
46,0.8333333333333334,1,0.1,lsqr,True,0.0001
47,0.8809523809523809,1,auto,lsqr,True,0.0001
48,0.8571428571428571,1,,svd,True,0.0001
49,0.8809523809523809,1,auto,lsqr,True,0.0001
50,0.8571428571428571,1,auto,lsqr,True,0.0001
