fold,accuracy,training_time,prediction_time,C,penalty,solver
1,0.8809523809523809,5.247396469116211,0.002009153366088867,10,l2,newton-cg
2,0.8333333333333334,0.3813488483428955,0.0,100,l2,saga
3,0.8571428571428571,0.38317251205444336,0.0,100,l2,newton-cg
4,0.8333333333333334,0.36089038848876953,0.0,10,l2,newton-cg
5,0.6190476190476191,0.372361421585083,0.0,100,l2,newton-cg
6,0.8571428571428571,0.3445570468902588,0.0,100,l2,newton-cg
7,0.8333333333333334,0.35964417457580566,0.0,100,l2,newton-cg
8,0.8095238095238095,0.3355128765106201,0.0,10,l2,newton-cg
9,0.7619047619047619,0.3611454963684082,0.0,100,l2,newton-cg
10,0.7380952380952381,0.3459303379058838,0.0,1,l2,newton-cg
11,0.8333333333333334,0.3422977924346924,0.0,100,l2,newton-cg
12,0.8333333333333334,0.3651609420776367,0.0018296241760253906,100,l2,newton-cg
13,0.7857142857142857,0.3425414562225342,0.0,100,l2,newton-cg
14,0.7380952380952381,0.3439826965332031,0.0,10,l2,newton-cg
15,0.8809523809523809,0.3345320224761963,0.0,100,l2,newton-cg
16,0.8095238095238095,0.33637118339538574,0.0,10,l2,newton-cg
17,0.7142857142857143,0.38138318061828613,0.0,100,l2,newton-cg
18,0.8095238095238095,0.33445286750793457,0.0,10,l2,newton-cg
19,0.8571428571428571,0.3493330478668213,0.0,100,l2,newton-cg
20,0.8809523809523809,0.3557586669921875,0.0,100,l2,newton-cg
21,0.8095238095238095,0.39931321144104004,0.0,10,l2,newton-cg
22,0.7857142857142857,0.38056135177612305,0.0,100,l2,newton-cg
23,0.7857142857142857,0.4241514205932617,0.0,100,l2,newton-cg
24,0.8571428571428571,0.37454915046691895,0.0,100,l2,newton-cg
25,0.7380952380952381,0.4124796390533447,0.0,100,l2,newton-cg
26,0.8571428571428571,0.4715874195098877,0.0,100,l2,newton-cg
27,0.7380952380952381,0.31120944023132324,0.0,1,l2,newton-cg
28,0.7857142857142857,0.3172721862792969,0.0,100,l2,newton-cg
29,0.8333333333333334,0.3408067226409912,0.0,10,l2,newton-cg
30,0.8571428571428571,0.34655022621154785,0.0,100,l2,newton-cg
31,0.7619047619047619,0.3085896968841553,0.0,100,l2,newton-cg
32,0.8809523809523809,0.3160247802734375,0.0,100,l2,newton-cg
33,0.8809523809523809,0.32328176498413086,0.0,100,l2,newton-cg
34,0.7619047619047619,0.31592607498168945,0.0,10,l2,newton-cg
35,0.7857142857142857,0.3150780200958252,0.0,100,l2,newton-cg
36,0.8095238095238095,0.3161885738372803,0.0,100,l2,newton-cg
37,0.7619047619047619,0.3254053592681885,0.0,100,l2,newton-cg
38,0.7857142857142857,0.3254847526550293,0.0,100,l2,newton-cg
39,0.8095238095238095,0.3006913661956787,0.0,1,l2,newton-cg
40,0.7380952380952381,0.35253405570983887,0.0,10,l2,newton-cg
41,0.7857142857142857,0.4008493423461914,0.0,100,l2,newton-cg
42,0.8095238095238095,0.37992358207702637,0.0,100,l2,newton-cg
43,0.8809523809523809,0.3835430145263672,0.0,100,l2,newton-cg
44,0.7142857142857143,0.36645936965942383,0.0,100,l2,newton-cg
45,0.8095238095238095,0.3750154972076416,0.0,1,l2,newton-cg
46,0.7380952380952381,0.3745260238647461,0.0,100,l2,lbfgs
47,0.7857142857142857,0.39981722831726074,0.0,10,l2,newton-cg
48,0.8333333333333334,0.39989590644836426,0.0,100,l2,newton-cg
49,0.8095238095238095,0.3417317867279053,0.007741451263427734,100,l2,newton-cg
50,0.8333333333333334,0.34146881103515625,0.0,100,l2,newton-cg
