fold,accuracy,training_time,prediction_time,C,penalty,solver
1,0.7906976744186046,4.41417384147644,0.0,10,l2,newton-cg
2,0.8333333333333334,0.29760050773620605,0.0,100,l2,saga
3,0.7380952380952381,0.2830474376678467,0.0,10,l2,newton-cg
4,0.7857142857142857,0.25496625900268555,0.0,10,l2,newton-cg
5,0.8571428571428571,0.2862222194671631,0.0,1,l2,newton-cg
6,0.8837209302325582,0.28209829330444336,0.0,10,l2,newton-cg
7,0.6428571428571429,0.2901802062988281,0.0,10,l2,newton-cg
8,0.8571428571428571,0.2679276466369629,0.0,10,l2,newton-cg
9,0.8333333333333334,0.26552391052246094,0.0,10,l2,newton-cg
10,0.8571428571428571,0.25637221336364746,0.0,1,l2,newton-cg
11,0.813953488372093,0.26982688903808594,0.006122589111328125,1,l2,newton-cg
12,0.7619047619047619,0.2698206901550293,0.0,1,l2,newton-cg
13,0.7619047619047619,0.3001515865325928,0.0,10,l2,newton-cg
14,0.7857142857142857,0.279979944229126,0.0,100,l2,saga
15,0.8095238095238095,0.26970386505126953,0.0,100,l2,newton-cg
16,0.8604651162790697,0.2665519714355469,0.0,10,l2,newton-cg
17,0.9047619047619048,0.29354429244995117,0.0,10,l2,newton-cg
18,0.8095238095238095,0.26029181480407715,0.0,10,l2,lbfgs
19,0.7380952380952381,0.308896541595459,0.0,10,l2,newton-cg
20,0.7380952380952381,0.2889389991760254,0.0,10,l2,newton-cg
21,0.813953488372093,0.26447343826293945,0.0,100,l2,newton-cg
22,0.7857142857142857,0.29151272773742676,0.0,100,l2,sag
23,0.7142857142857143,0.30356526374816895,0.0,10,l2,newton-cg
24,0.7142857142857143,0.29070615768432617,0.0020079612731933594,10,l2,newton-cg
25,0.8095238095238095,0.25231361389160156,0.0,10,l2,newton-cg
26,0.8837209302325582,0.2766714096069336,0.0,100,l2,newton-cg
27,0.8095238095238095,0.27301526069641113,0.0,1,l2,newton-cg
28,0.7619047619047619,0.29544758796691895,0.002035379409790039,10,l2,newton-cg
29,0.8333333333333334,0.2837183475494385,0.0,100,l2,newton-cg
30,0.8095238095238095,0.27831554412841797,0.0,1,l2,newton-cg
31,0.813953488372093,0.3000049591064453,0.0,1,l2,newton-cg
32,0.8095238095238095,0.2957324981689453,0.0,10,l2,newton-cg
33,0.8095238095238095,0.2744886875152588,0.0,10,l2,newton-cg
34,0.8095238095238095,0.3000779151916504,0.0,1,l2,newton-cg
35,0.8571428571428571,0.26964235305786133,0.0,10,l2,lbfgs
36,0.9069767441860465,0.26012587547302246,0.0,1,l2,newton-cg
37,0.7619047619047619,0.29540348052978516,0.0,10,l2,newton-cg
38,0.7619047619047619,0.27457642555236816,0.005043745040893555,100,l2,newton-cg
39,0.8571428571428571,0.26540088653564453,0.0,1,l2,newton-cg
40,0.8571428571428571,0.27653980255126953,0.0,100,l2,newton-cg
41,0.813953488372093,0.273162841796875,0.0,100,l2,newton-cg
42,0.7619047619047619,0.2850956916809082,0.0,100,l2,newton-cg
43,0.8095238095238095,0.27448582649230957,0.0,10,l2,newton-cg
44,0.9285714285714286,0.26014065742492676,0.0,1,l2,newton-cg
45,0.7380952380952381,0.2684051990509033,0.0,1,l2,newton-cg
46,0.9069767441860465,0.524742841720581,0.0,10,l2,newton-cg
47,0.9047619047619048,0.269298791885376,0.0,1,l2,newton-cg
48,0.7857142857142857,0.2648441791534424,0.0,10,l2,newton-cg
49,0.8333333333333334,0.2796928882598877,0.0,10,l2,newton-cg
50,0.8571428571428571,0.26986026763916016,0.0,10,l2,newton-cg
