fold,accuracy,training_time,prediction_time,C,penalty,solver
1,0.9047619047619048,3.4871063232421875,0.0,10,l2,lbfgs
2,0.8809523809523809,0.2214667797088623,0.0,10,l2,newton-cg
3,0.8571428571428571,0.20517182350158691,0.0,1,l2,newton-cg
4,0.8571428571428571,0.23091363906860352,0.0,10,l2,newton-cg
5,0.8095238095238095,0.20098328590393066,0.0,10,l2,newton-cg
6,0.8571428571428571,0.20842504501342773,0.0,10,l2,newton-cg
7,0.7619047619047619,0.23241829872131348,0.0009183883666992188,10,l2,newton-cg
8,0.8095238095238095,0.20500826835632324,0.0,1,l2,newton-cg
9,0.9523809523809523,0.20772504806518555,0.0,1,l2,newton-cg
10,0.9285714285714286,0.2025737762451172,0.0,10,l2,newton-cg
11,0.8571428571428571,0.22437453269958496,0.0,1,l2,newton-cg
12,0.8571428571428571,0.22329473495483398,0.0,10,l2,newton-cg
13,0.8095238095238095,0.21643853187561035,0.0,10,l2,newton-cg
14,0.8571428571428571,0.21189594268798828,0.0,10,l2,newton-cg
15,0.9047619047619048,0.2072911262512207,0.0,1,l2,newton-cg
16,0.8809523809523809,0.21336960792541504,0.006417512893676758,10,l2,newton-cg
17,0.8809523809523809,0.20506525039672852,0.0,100,l2,lbfgs
18,0.9285714285714286,0.19515538215637207,0.0,10,l2,newton-cg
19,0.8809523809523809,0.22854137420654297,0.0,10,l2,newton-cg
20,0.8571428571428571,0.22146320343017578,0.0,10,l2,newton-cg
21,0.9285714285714286,0.21992731094360352,0.0,10,l2,newton-cg
22,0.8571428571428571,0.21355557441711426,0.0,1,l2,newton-cg
23,0.8333333333333334,0.22480344772338867,0.0,10,l2,newton-cg
24,0.7619047619047619,0.22362184524536133,0.0,10,l2,newton-cg
25,0.8809523809523809,0.21291160583496094,0.0,100,l2,newton-cg
26,0.8571428571428571,0.21497702598571777,0.0,100,l2,lbfgs
27,0.8333333333333334,0.3500790596008301,0.0,1,l2,newton-cg
28,0.8095238095238095,0.20152044296264648,0.0,10,l2,newton-cg
29,0.9285714285714286,0.20568299293518066,0.0,10,l2,newton-cg
30,0.9047619047619048,0.21537232398986816,0.0,10,l2,newton-cg
31,0.8809523809523809,0.21909427642822266,0.0,1,l2,newton-cg
32,0.9285714285714286,0.20700287818908691,0.0009095668792724609,10,l2,newton-cg
33,0.7142857142857143,0.23877644538879395,0.0,100,l2,saga
34,0.7857142857142857,0.21651077270507812,0.0,10,l2,newton-cg
35,0.9285714285714286,0.2050151824951172,0.0,10,l2,newton-cg
36,0.8095238095238095,0.22924375534057617,0.0005116462707519531,1,l2,newton-cg
37,0.7857142857142857,0.20252084732055664,0.0,100,l2,newton-cg
38,0.8333333333333334,0.21767163276672363,0.0,10,l2,newton-cg
39,0.9047619047619048,0.19983458518981934,0.0,1,l2,newton-cg
40,0.8809523809523809,0.20529913902282715,0.0,100,l2,newton-cg
41,0.8809523809523809,0.189866304397583,0.0,100,l2,newton-cg
42,0.7857142857142857,0.21487927436828613,0.0,100,l2,newton-cg
43,0.9047619047619048,0.1901109218597412,0.0,10,l2,newton-cg
44,0.9047619047619048,0.19499540328979492,0.0,10,l2,newton-cg
45,0.8333333333333334,0.20885062217712402,0.0,1,l2,newton-cg
46,0.8333333333333334,0.2098379135131836,0.0,10,l2,newton-cg
47,0.8571428571428571,0.2228386402130127,0.0,100,l2,saga
48,0.9285714285714286,0.20718646049499512,0.0,10,l2,newton-cg
49,0.8571428571428571,0.20369958877563477,0.0064239501953125,10,l2,newton-cg
50,0.8571428571428571,0.20010662078857422,0.0,100,l2,newton-cg
