fold,accuracy,training_time,prediction_time,C,penalty,solver
1,0.8809523809523809,0.2391343116760254,0.0,10,l2,lbfgs
2,0.8095238095238095,0.2121262550354004,0.0,10,l2,newton-cg
3,0.8571428571428571,0.22141766548156738,0.0,10,l2,newton-cg
4,0.8571428571428571,0.28238964080810547,0.0,10,l2,newton-cg
5,0.8095238095238095,0.2444760799407959,0.0,10,l2,newton-cg
6,0.9047619047619048,0.23129487037658691,0.0009379386901855469,100,l2,lbfgs
7,0.6666666666666666,0.25922513008117676,0.0,10,l2,newton-cg
8,0.8095238095238095,0.22970914840698242,0.0,10,l2,newton-cg
9,0.8333333333333334,0.2540473937988281,0.0,10,l2,newton-cg
10,0.8333333333333334,0.2527456283569336,0.0,100,l2,newton-cg
11,0.8333333333333334,0.2609882354736328,0.0,10,l2,newton-cg
12,0.8809523809523809,0.22182989120483398,0.0,10,l2,lbfgs
13,0.7857142857142857,0.22930598258972168,0.0,10,l2,newton-cg
14,0.8571428571428571,0.23380160331726074,0.0,10,l2,newton-cg
15,0.8333333333333334,0.2329692840576172,0.0,10,l2,lbfgs
16,0.8333333333333334,0.2277374267578125,0.0,10,l2,newton-cg
17,0.8333333333333334,0.21983027458190918,0.0,100,l2,newton-cg
18,0.8571428571428571,0.2185344696044922,0.0,10,l2,newton-cg
19,0.7619047619047619,0.24428105354309082,0.0,10,l2,newton-cg
20,0.8095238095238095,0.24167656898498535,0.0,10,l2,newton-cg
21,0.9047619047619048,0.2496938705444336,0.0,10,l2,lbfgs
22,0.7619047619047619,0.207963228225708,0.0,10,l2,newton-cg
23,0.7857142857142857,0.21026873588562012,0.0,100,l2,newton-cg
24,0.8333333333333334,0.252363920211792,0.0037963390350341797,100,l2,saga
25,0.8571428571428571,0.19822454452514648,0.0,10,l2,newton-cg
26,0.9047619047619048,0.2223210334777832,0.0,10,l2,lbfgs
27,0.7380952380952381,0.22825384140014648,0.0,100,l2,newton-cg
28,0.7142857142857143,0.2011115550994873,0.0,100,l2,newton-cg
29,0.8333333333333334,0.20890259742736816,0.0,10,l2,newton-cg
30,0.8571428571428571,0.21356773376464844,0.0,1,l2,newton-cg
31,0.7857142857142857,0.22333312034606934,0.0,10,l2,newton-cg
32,0.9047619047619048,0.20167875289916992,0.0,100,l2,newton-cg
33,0.8571428571428571,0.21998357772827148,0.0,100,l2,newton-cg
34,0.8333333333333334,0.215925931930542,0.0,10,l2,newton-cg
35,0.8333333333333334,0.21584463119506836,0.002007722854614258,100,l2,newton-cg
36,0.8095238095238095,0.23072481155395508,0.0,100,l2,newton-cg
37,0.8095238095238095,0.20209980010986328,0.0,10,l2,newton-cg
38,0.8333333333333334,0.2100520133972168,0.0,100,l2,lbfgs
39,0.9047619047619048,0.2141721248626709,0.0,10,l2,newton-cg
40,0.8571428571428571,0.19365501403808594,0.0,10,l2,newton-cg
41,0.8809523809523809,0.22481608390808105,0.0,10,l2,newton-cg
42,0.7857142857142857,0.22289061546325684,0.0,100,l2,newton-cg
43,0.9285714285714286,0.18786954879760742,0.0,10,l2,newton-cg
44,0.8095238095238095,0.24198055267333984,0.0,100,l2,saga
45,0.7619047619047619,0.25881338119506836,0.0,1,l2,newton-cg
46,0.8095238095238095,0.21364259719848633,0.0,10,l2,newton-cg
47,0.8809523809523809,0.2226428985595703,0.0,100,l2,newton-cg
48,0.8571428571428571,0.199540376663208,0.0,100,l2,newton-cg
49,0.8333333333333334,0.2086348533630371,0.0,10,l2,newton-cg
50,0.8333333333333334,0.2076106071472168,0.0,100,l2,newton-cg
