fold,accuracy,training_time,prediction_time,C,penalty,solver
1,0.8648648648648649,3.617565631866455,0.0,100,l2,newton-cg
2,0.8108108108108109,0.2081012725830078,0.0,10,l2,newton-cg
3,0.8611111111111112,0.23184967041015625,0.0,100,l2,newton-cg
4,0.8055555555555556,0.2251875400543213,0.0,10,l2,newton-cg
5,0.7222222222222222,0.19894027709960938,0.0,100,l2,newton-cg
6,0.7567567567567568,0.20765185356140137,0.0,10,l2,newton-cg
7,0.8108108108108109,0.2220461368560791,0.0,100,l2,newton-cg
8,0.7777777777777778,0.2124037742614746,0.0,100,l2,newton-cg
9,0.8611111111111112,0.2336728572845459,0.0,10,l2,newton-cg
10,0.9166666666666666,0.20392584800720215,0.0,100,l2,newton-cg
11,0.7837837837837838,0.21033453941345215,0.0,10,l2,newton-cg
12,0.918918918918919,0.19995546340942383,0.0,100,l2,newton-cg
13,0.8888888888888888,0.22005224227905273,0.0,10,l2,newton-cg
14,0.8055555555555556,0.1999967098236084,0.0,10,l2,newton-cg
15,0.8333333333333334,0.21977472305297852,0.0,10,l2,newton-cg
16,0.8378378378378378,0.2134237289428711,0.0,10,l2,newton-cg
17,0.8918918918918919,0.20645570755004883,0.0,10,l2,newton-cg
18,0.8055555555555556,0.22772717475891113,0.0,100,l2,lbfgs
19,0.6944444444444444,0.19971871376037598,0.0,10,l2,newton-cg
20,0.9166666666666666,0.21410775184631348,0.0,100,l2,newton-cg
21,0.8918918918918919,0.20561528205871582,0.0,10,l2,newton-cg
22,0.8378378378378378,0.22240662574768066,0.0,10,l2,newton-cg
23,0.75,0.22425389289855957,0.0,100,l2,newton-cg
24,0.8888888888888888,0.20178723335266113,0.0,100,l2,newton-cg
25,0.8888888888888888,0.24986672401428223,0.0,10,l2,newton-cg
26,0.8648648648648649,0.21000313758850098,0.0,1,l2,newton-cg
27,0.8918918918918919,0.2098066806793213,0.0,10,l2,saga
28,0.8611111111111112,0.2256450653076172,0.0,10,l2,newton-cg
29,0.8055555555555556,0.24164581298828125,0.0,100,l2,saga
30,0.75,0.21631956100463867,0.0,100,l2,newton-cg
31,0.8378378378378378,0.20952701568603516,0.0,100,l2,newton-cg
32,0.8108108108108109,0.20040059089660645,0.0,100,l2,newton-cg
33,0.75,0.21494364738464355,0.0,10,l2,newton-cg
34,0.8611111111111112,0.20834898948669434,0.0,100,l2,saga
35,0.9166666666666666,0.2257091999053955,0.0,100,l2,lbfgs
36,0.8108108108108109,0.20245885848999023,0.0008070468902587891,1,l2,newton-cg
37,0.8918918918918919,0.19635581970214844,0.0,10,l2,newton-cg
38,0.7777777777777778,0.2434861660003662,0.0,100,l2,saga
39,0.8333333333333334,0.22174525260925293,0.0,10,l2,newton-cg
40,0.8333333333333334,0.21483635902404785,0.0,10,l2,newton-cg
41,0.8108108108108109,0.2099158763885498,0.0,100,l2,newton-cg
42,0.8378378378378378,0.22597503662109375,0.0,10,l2,newton-cg
43,0.8333333333333334,0.2040541172027588,0.0,10,l2,newton-cg
44,0.9444444444444444,0.2001953125,0.0,10,l2,newton-cg
45,0.8611111111111112,0.19974613189697266,0.0,10,l2,newton-cg
46,0.8918918918918919,0.21900582313537598,0.0009992122650146484,10,l2,sag
47,0.8918918918918919,0.19968414306640625,0.0,10,l2,newton-cg
48,0.8611111111111112,0.21980738639831543,0.0,100,l2,newton-cg
49,0.75,0.2076399326324463,0.0,10,l2,newton-cg
50,0.8611111111111112,0.2269604206085205,0.0,100,l2,newton-cg
