Fold,Accuracy,Training_Time,Prediction_Time,Convergence_Warning
1,0.8378378378378378,0.00862264633178711,0.0,True
2,0.7837837837837838,0.005764961242675781,0.0,True
3,0.7777777777777778,0.005312442779541016,0.0,True
4,0.8611111111111112,0.005013704299926758,0.0,True
5,0.8333333333333334,0.003203153610229492,0.0,True
6,0.6756756756756757,0.002997159957885742,0.0,True
7,0.8108108108108109,0.005342960357666016,0.0,True
8,0.8055555555555556,0.005198240280151367,0.0,True
9,0.8611111111111112,0.0030443668365478516,0.0,True
10,0.8888888888888888,0.0039937496185302734,0.0,True
11,0.7027027027027027,0.004420280456542969,0.0,True
12,0.9459459459459459,0.0026650428771972656,0.0,True
13,0.7777777777777778,0.0030078887939453125,0.0,True
14,0.7777777777777778,0.00450587272644043,0.0,True
15,0.8055555555555556,0.004488706588745117,0.0,True
16,0.8108108108108109,0.003942728042602539,0.0,True
17,0.8918918918918919,0.004216432571411133,0.0,True
18,0.8055555555555556,0.00876307487487793,0.0,True
19,0.6666666666666666,0.003881692886352539,0.0,True
20,0.8333333333333334,0.0022575855255126953,0.0,True
21,0.8648648648648649,0.005702018737792969,0.0,True
22,0.7567567567567568,0.0039806365966796875,0.0,True
23,0.7777777777777778,0.004580497741699219,0.0,True
24,0.8611111111111112,0.0018649101257324219,0.0,True
25,0.8611111111111112,0.006083011627197266,0.0,True
26,0.8648648648648649,0.0,0.0,True
27,0.8108108108108109,0.008284807205200195,0.0,True
28,0.8888888888888888,0.0,0.0,True
29,0.75,0.004298210144042969,0.0,True
30,0.75,0.004706382751464844,0.0,True
31,0.8648648648648649,0.005228757858276367,0.0,True
32,0.8378378378378378,0.00266265869140625,0.0,True
33,0.7222222222222222,0.0026121139526367188,0.0,True
34,0.8333333333333334,0.005655765533447266,0.0,True
35,0.9166666666666666,0.004019975662231445,0.0,True
36,0.8108108108108109,0.003613710403442383,0.0,True
37,0.8918918918918919,0.0,0.0,True
38,0.7222222222222222,0.005568981170654297,0.0,True
39,0.75,0.0026504993438720703,0.0,True
40,0.8333333333333334,0.0,0.0,True
41,0.7567567567567568,0.007899761199951172,0.0010368824005126953,True
42,0.7567567567567568,0.0018048286437988281,0.0,True
43,0.8611111111111112,0.005890846252441406,0.0,True
44,0.9166666666666666,0.002106189727783203,0.0,True
45,0.8888888888888888,0.005573272705078125,0.0,True
46,0.7837837837837838,0.004128217697143555,0.0,True
47,0.8918918918918919,0.004821300506591797,0.0,True
48,0.8333333333333334,0.007506608963012695,0.0,True
49,0.6944444444444444,0.006319999694824219,0.0010068416595458984,True
50,0.9166666666666666,0.004186153411865234,0.0,True
