fold,accuracy,training_time,prediction_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
1,0.8809523809523809,14.166022062301636,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
2,0.7619047619047619,3.4652888774871826,0.0007429122924804688,relu,0.05,"(50, 100, 50)",constant,adam
3,0.40476190476190477,4.65781569480896,0.0,relu,0.05,"(50, 100, 50)",constant,adam
4,0.5952380952380952,4.6849586963653564,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
5,0.5238095238095238,4.969601154327393,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
6,0.8571428571428571,4.578861713409424,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
7,0.5238095238095238,4.488483190536499,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
8,0.5952380952380952,4.230691432952881,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
9,0.47619047619047616,4.338752031326294,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
10,0.7857142857142857,5.119534492492676,0.0010156631469726562,tanh,0.0001,"(50, 100, 50)",constant,adam
11,0.6190476190476191,4.380030870437622,0.0,relu,0.05,"(50, 100, 50)",constant,adam
12,0.6666666666666666,4.392886638641357,0.0,relu,0.05,"(50, 50, 50)",constant,adam
13,0.5952380952380952,4.202573299407959,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
14,0.6428571428571429,4.239807605743408,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
15,0.6190476190476191,4.535159349441528,0.0074384212493896484,relu,0.05,"(50, 100, 50)",constant,adam
16,0.5714285714285714,4.0652337074279785,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
17,0.42857142857142855,4.1824729442596436,0.0,relu,0.05,"(50, 100, 50)",constant,adam
18,0.6428571428571429,4.888679027557373,0.0005960464477539062,relu,0.05,"(50, 100, 50)",constant,adam
19,0.7619047619047619,5.2323784828186035,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
20,0.6190476190476191,7.118417263031006,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
21,0.4523809523809524,5.891314744949341,0.0,relu,0.05,"(50, 100, 50)",constant,adam
22,0.7142857142857143,7.742114782333374,0.0010068416595458984,tanh,0.0001,"(50, 100, 50)",constant,adam
23,0.6666666666666666,4.684719800949097,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
24,0.42857142857142855,4.438532590866089,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
25,0.5238095238095238,4.594013690948486,0.0010292530059814453,relu,0.0001,"(50, 100, 50)",constant,adam
26,0.6666666666666666,5.103249549865723,0.0012466907501220703,tanh,0.0001,"(50, 100, 50)",constant,adam
27,0.6904761904761905,4.6229023933410645,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
28,0.5952380952380952,6.540558338165283,0.0,tanh,0.0001,"(100,)",constant,adam
29,0.6190476190476191,6.118558406829834,0.0010051727294921875,relu,0.05,"(50, 50, 50)",constant,adam
30,0.6904761904761905,6.3682897090911865,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
31,0.6904761904761905,5.499823331832886,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
32,0.5952380952380952,4.884627342224121,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
33,0.6904761904761905,4.434938430786133,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
34,0.6428571428571429,4.391125440597534,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
35,0.7142857142857143,4.825967073440552,0.001142740249633789,tanh,0.0001,"(50, 100, 50)",constant,adam
36,0.7619047619047619,4.685980558395386,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
37,0.6904761904761905,4.901777505874634,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
38,0.4523809523809524,4.518249034881592,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
39,0.7619047619047619,4.695972442626953,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
40,0.6666666666666666,12.086543321609497,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
41,0.6904761904761905,5.976939916610718,0.0,relu,0.05,"(50, 50, 50)",constant,adam
42,0.5952380952380952,6.089475393295288,0.0020825862884521484,relu,0.05,"(50, 100, 50)",constant,adam
43,0.7619047619047619,5.2238075733184814,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
44,0.5952380952380952,5.738694906234741,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
45,0.5952380952380952,4.953709125518799,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
46,0.6428571428571429,4.327173233032227,0.0021245479583740234,tanh,0.0001,"(50, 100, 50)",constant,adam
47,0.2857142857142857,5.039333343505859,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
48,0.6190476190476191,4.288343667984009,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
49,0.8809523809523809,4.5416460037231445,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
50,0.7142857142857143,4.308634281158447,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
