fold,accuracy,training_time,prediction_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
1,0.6744186046511628,5.129148244857788,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
2,0.6904761904761905,2.2048017978668213,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
3,0.6190476190476191,2.295027732849121,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
4,0.7142857142857143,2.1426761150360107,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
5,0.8095238095238095,2.5119760036468506,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
6,0.627906976744186,2.8307697772979736,0.0,relu,0.05,"(50, 100, 50)",constant,adam
7,0.5476190476190477,3.1318564414978027,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
8,0.5952380952380952,2.8800108432769775,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
9,0.40476190476190477,2.9596009254455566,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
10,0.8095238095238095,2.838388442993164,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
11,0.5116279069767442,2.8975539207458496,0.0021033287048339844,relu,0.0001,"(50, 100, 50)",constant,adam
12,0.6904761904761905,2.8467605113983154,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
13,0.6428571428571429,2.9892027378082275,0.0008728504180908203,tanh,0.0001,"(50, 50, 50)",constant,adam
14,0.8095238095238095,3.024379014968872,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
15,0.7619047619047619,2.723245859146118,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
16,0.7441860465116279,2.802093982696533,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
17,0.6666666666666666,2.8986146450042725,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
18,0.6904761904761905,2.798971176147461,0.001001596450805664,tanh,0.0001,"(50, 50, 50)",constant,adam
19,0.6904761904761905,2.847078561782837,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
20,0.6904761904761905,2.9518682956695557,0.0,relu,0.05,"(50, 100, 50)",constant,adam
21,0.6976744186046512,2.8148016929626465,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
22,0.6666666666666666,2.7597389221191406,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
23,0.7619047619047619,2.8381919860839844,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
24,0.5238095238095238,2.828770399093628,0.0,relu,0.05,"(50, 50, 50)",constant,adam
25,0.6904761904761905,2.875868558883667,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
26,0.8837209302325582,2.8788509368896484,0.0005130767822265625,tanh,0.0001,"(50, 100, 50)",constant,adam
27,0.6428571428571429,2.822612762451172,0.0,tanh,0.05,"(50, 50, 50)",constant,adam
28,0.5714285714285714,2.9659359455108643,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
29,0.4523809523809524,3.014315366744995,0.0,relu,0.05,"(50, 100, 50)",constant,adam
30,0.3333333333333333,2.7254979610443115,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
31,0.627906976744186,2.9724888801574707,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
32,0.7619047619047619,2.9470221996307373,0.0008556842803955078,tanh,0.05,"(50, 100, 50)",constant,adam
33,0.6428571428571429,2.594358205795288,0.0009968280792236328,tanh,0.0001,"(50, 100, 50)",constant,adam
34,0.7142857142857143,2.83054256439209,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
35,0.7142857142857143,2.7715468406677246,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
36,0.7441860465116279,2.8913514614105225,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
37,0.6428571428571429,2.8345041275024414,0.001001596450805664,tanh,0.0001,"(50, 100, 50)",constant,adam
38,0.7142857142857143,2.723538637161255,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
39,0.7380952380952381,2.8171041011810303,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
40,0.7619047619047619,2.9264540672302246,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
41,0.5813953488372093,2.930718183517456,0.0010035037994384766,tanh,0.0001,"(50, 50, 50)",constant,adam
42,0.7380952380952381,2.7649898529052734,0.0,tanh,0.05,"(50, 100, 50)",constant,adam
43,0.5952380952380952,2.7543814182281494,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
44,0.5476190476190477,2.802227735519409,0.0,relu,0.05,"(50, 100, 50)",constant,adam
45,0.6904761904761905,3.0797829627990723,0.0011005401611328125,tanh,0.0001,"(50, 100, 50)",constant,adam
46,0.7906976744186046,2.7783563137054443,0.001131296157836914,tanh,0.0001,"(50, 100, 50)",constant,adam
47,0.7380952380952381,2.9017813205718994,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
48,0.6666666666666666,2.699397563934326,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
49,0.30952380952380953,2.830825090408325,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
50,0.5714285714285714,2.808502197265625,0.005659818649291992,relu,0.0001,"(50, 100, 50)",constant,adam
