fold,accuracy,training_time,prediction_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
1,0.6904761904761905,8.302054643630981,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
2,0.5952380952380952,3.4671547412872314,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
3,0.7380952380952381,3.1413302421569824,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
4,0.7857142857142857,3.2154343128204346,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
5,0.8809523809523809,3.4323253631591797,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
6,0.8095238095238095,3.4077792167663574,0.0,relu,0.05,"(50, 100, 50)",constant,adam
7,0.5714285714285714,3.3400869369506836,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
8,0.7380952380952381,3.634018898010254,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
9,0.8809523809523809,3.447937488555908,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
10,0.7619047619047619,3.4153528213500977,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
11,0.7857142857142857,3.3661975860595703,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
12,0.7619047619047619,3.2485976219177246,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
13,0.7857142857142857,3.423689603805542,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
14,0.9285714285714286,3.4825549125671387,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
15,0.8333333333333334,3.207777500152588,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
16,0.8333333333333334,3.449117660522461,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
17,0.6190476190476191,3.548365592956543,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
18,0.7619047619047619,3.3315532207489014,0.0,relu,0.05,"(50, 100, 50)",constant,adam
19,0.6428571428571429,3.4105072021484375,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
20,0.6904761904761905,3.279592752456665,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
21,0.7380952380952381,3.2331018447875977,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
22,0.6666666666666666,3.2405142784118652,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
23,0.8333333333333334,3.2322678565979004,0.0,tanh,0.05,"(50, 100, 50)",constant,adam
24,0.40476190476190477,3.2576076984405518,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
25,0.8333333333333334,3.2574462890625,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
26,0.8333333333333334,3.462674140930176,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
27,0.8333333333333334,3.2524564266204834,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
28,0.6666666666666666,3.3241591453552246,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
29,0.5,3.3731601238250732,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
30,0.8809523809523809,3.1663858890533447,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
31,0.6190476190476191,3.3491525650024414,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
32,0.7857142857142857,3.215350389480591,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
33,0.7857142857142857,3.258293628692627,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
34,0.7380952380952381,3.457346200942993,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
35,0.8809523809523809,3.240560293197632,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
36,0.6428571428571429,3.2182118892669678,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
37,0.7857142857142857,3.6136820316314697,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
38,0.8333333333333334,3.190213441848755,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
39,0.7380952380952381,3.3073925971984863,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
40,0.8571428571428571,3.4572906494140625,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
41,0.7142857142857143,3.2364985942840576,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
42,0.7142857142857143,3.3571557998657227,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
43,0.4523809523809524,3.5997889041900635,0.0,relu,0.05,"(50, 100, 50)",constant,adam
44,0.9285714285714286,3.4104015827178955,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
45,0.8095238095238095,3.3862955570220947,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
46,0.8571428571428571,3.315516710281372,0.006363630294799805,tanh,0.0001,"(50, 100, 50)",constant,adam
47,0.7619047619047619,3.234856128692627,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
48,0.8571428571428571,3.274198293685913,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
49,0.7619047619047619,3.3485710620880127,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
50,0.8333333333333334,3.3672733306884766,0.0017523765563964844,tanh,0.0001,"(50, 100, 50)",constant,adam
