fold,accuracy,training_time,prediction_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
1,0.7142857142857143,2.9248263835906982,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
2,0.5238095238095238,2.440795421600342,0.0,relu,0.05,"(50, 50, 50)",constant,adam
3,0.7857142857142857,2.298088550567627,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
4,0.7380952380952381,2.176250696182251,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
5,0.7857142857142857,2.2730531692504883,0.015839099884033203,tanh,0.0001,"(50, 100, 50)",constant,adam
6,0.5476190476190477,2.1328136920928955,0.0013725757598876953,relu,0.0001,"(50, 50, 50)",constant,adam
7,0.5238095238095238,2.476201057434082,0.001039743423461914,tanh,0.0001,"(50, 100, 50)",constant,adam
8,0.4523809523809524,2.252882719039917,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
9,0.30952380952380953,3.0575544834136963,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
10,0.8809523809523809,3.090754508972168,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
11,0.7380952380952381,2.9243462085723877,0.006087303161621094,tanh,0.0001,"(50, 100, 50)",constant,adam
12,0.8333333333333334,2.9509434700012207,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
13,0.6904761904761905,3.0242626667022705,0.007744550704956055,tanh,0.0001,"(50, 100, 50)",constant,adam
14,0.8333333333333334,2.9734103679656982,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
15,0.5952380952380952,2.6550440788269043,0.0,relu,0.05,"(50, 100, 50)",constant,adam
16,0.7619047619047619,2.8424103260040283,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
17,0.7380952380952381,2.9100780487060547,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
18,0.6904761904761905,2.6864209175109863,0.0,relu,0.05,"(50, 50, 50)",constant,adam
19,0.5476190476190477,2.791024923324585,0.007640361785888672,relu,0.0001,"(50, 50, 50)",constant,adam
20,0.7380952380952381,2.9987003803253174,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
21,0.6190476190476191,2.5782811641693115,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
22,0.6190476190476191,2.885868549346924,0.006166934967041016,tanh,0.0001,"(50, 100, 50)",constant,adam
23,0.6428571428571429,2.801415205001831,0.0,relu,0.05,"(50, 100, 50)",constant,adam
24,0.6904761904761905,2.7443675994873047,0.0010256767272949219,tanh,0.0001,"(50, 50, 50)",constant,adam
25,0.6428571428571429,3.054155111312866,0.0,relu,0.05,"(50, 100, 50)",constant,adam
26,0.8809523809523809,3.021780014038086,0.0005199909210205078,tanh,0.0001,"(50, 100, 50)",constant,adam
27,0.7380952380952381,3.1350648403167725,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
28,0.6666666666666666,3.3609609603881836,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
29,0.5,3.465211868286133,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
30,0.40476190476190477,3.2767786979675293,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
31,0.5714285714285714,3.8915531635284424,0.0,relu,0.05,"(50, 50, 50)",constant,adam
32,0.6666666666666666,3.3532702922821045,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
33,0.7380952380952381,4.02202582359314,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
34,0.8095238095238095,3.2771358489990234,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
35,0.5952380952380952,3.3958535194396973,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
36,0.6190476190476191,3.1530098915100098,0.0,relu,0.0001,"(50, 100, 50)",constant,adam
37,0.6428571428571429,3.8499631881713867,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
38,0.7619047619047619,3.5370657444000244,0.0,relu,0.05,"(50, 50, 50)",constant,adam
39,0.7619047619047619,3.0633974075317383,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
40,0.8571428571428571,3.1070151329040527,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
41,0.42857142857142855,2.676208734512329,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
42,0.6666666666666666,2.8095431327819824,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
43,0.6904761904761905,3.210862636566162,0.0,relu,0.05,"(50, 100, 50)",constant,adam
44,0.7142857142857143,3.0262014865875244,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
45,0.7142857142857143,3.590230941772461,0.0,tanh,0.0001,"(50, 100, 50)",constant,adam
46,0.7142857142857143,2.900927782058716,0.0014357566833496094,tanh,0.0001,"(50, 100, 50)",constant,adam
47,0.6190476190476191,2.801764726638794,0.0010013580322265625,relu,0.05,"(50, 50, 50)",constant,adam
48,0.7619047619047619,2.7684903144836426,0.00043463706970214844,tanh,0.0001,"(50, 100, 50)",constant,adam
49,0.47619047619047616,2.865635633468628,0.0,tanh,0.0001,"(50, 50, 50)",constant,adam
50,0.7857142857142857,2.848329544067383,0.0,relu,0.0001,"(50, 50, 50)",constant,adam
