fold,accuracy,training_time,prediction_time,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators,oob_score
1,1.0,19.6099534034729,0.007981061935424805,True,,1,5,100,True
2,0.9761904761904762,20.235153436660767,0.008416414260864258,True,,1,2,100,True
3,0.9523809523809523,20.815920114517212,0.003333568572998047,True,10.0,1,2,100,True
4,0.9285714285714286,20.429667949676514,0.001739501953125,True,10.0,1,2,50,True
5,0.9047619047619048,23.258756399154663,0.001508474349975586,True,,1,5,200,True
6,0.9523809523809523,21.048039197921753,0.00861668586730957,True,,1,5,50,True
7,0.9761904761904762,20.88951563835144,0.004398345947265625,True,,1,2,100,True
8,0.9523809523809523,20.66914129257202,0.0,True,10.0,1,2,50,True
9,0.9523809523809523,20.818761348724365,0.009816884994506836,True,,1,2,100,True
10,0.8809523809523809,21.277174711227417,0.008446216583251953,True,,1,2,200,True
11,0.9285714285714286,20.811171531677246,0.008089780807495117,True,,1,5,50,True
12,0.9523809523809523,21.091360807418823,0.004763364791870117,True,,1,5,50,True
13,0.9523809523809523,20.863301992416382,0.00854945182800293,True,,1,5,200,True
14,0.8809523809523809,20.652536392211914,0.007899045944213867,True,10.0,1,5,100,True
15,0.9761904761904762,21.027214527130127,0.007285118103027344,True,,1,5,100,True
16,0.9285714285714286,20.82073998451233,0.0084381103515625,True,,1,5,100,True
17,0.9285714285714286,22.434098958969116,0.0,True,,1,2,100,True
18,0.9047619047619048,20.48741364479065,0.0,True,,1,10,50,True
19,0.9523809523809523,20.884697914123535,0.0,True,,1,5,100,True
20,1.0,20.51918601989746,0.007294893264770508,True,10.0,1,5,50,True
21,0.9285714285714286,20.443897485733032,0.009151220321655273,True,,1,5,100,True
22,0.9761904761904762,20.5438551902771,0.008177042007446289,True,,1,2,200,True
23,0.8095238095238095,20.802493810653687,0.008500099182128906,True,10.0,1,2,100,True
24,1.0,20.52691626548767,0.00839853286743164,True,,1,10,50,True
25,0.9761904761904762,20.319324254989624,0.0074214935302734375,True,,1,5,50,True
26,0.9047619047619048,36.18452286720276,0.0034682750701904297,True,,1,2,50,True
27,0.9761904761904762,51.792093992233276,0.006760597229003906,True,10.0,1,5,200,True
28,1.0,39.74637150764465,0.011289834976196289,True,,1,5,100,True
29,0.9285714285714286,50.53598999977112,0.0,True,,1,5,50,True
30,0.9523809523809523,43.62352681159973,0.018352985382080078,True,,1,2,100,True
31,0.9523809523809523,43.886723279953,0.023899078369140625,True,,1,5,100,True
32,0.9761904761904762,41.51032018661499,0.048981666564941406,True,,1,10,200,True
33,0.9047619047619048,43.92284393310547,0.03318023681640625,True,10.0,1,10,200,True
34,0.9523809523809523,37.3465850353241,0.01776742935180664,True,,1,5,200,True
35,0.9285714285714286,33.40572810173035,0.01767706871032715,True,,1,2,200,True
36,0.9285714285714286,33.17359256744385,0.007341861724853516,True,10.0,1,5,100,True
37,0.8809523809523809,34.952839851379395,0.014509439468383789,True,,1,5,200,True
38,0.9285714285714286,33.78736448287964,0.0050144195556640625,True,,1,5,50,True
39,0.9523809523809523,33.240556716918945,0.012801885604858398,True,10.0,1,5,200,True
40,0.9523809523809523,33.836594343185425,0.012336492538452148,True,,1,5,200,True
41,0.9047619047619048,32.59372806549072,0.00957632064819336,True,10.0,1,5,100,True
42,0.9761904761904762,75.32723712921143,0.006270408630371094,True,,1,2,50,True
43,0.9761904761904762,31.14995765686035,0.009052276611328125,True,,1,5,50,True
44,0.9285714285714286,28.069422483444214,0.0,True,,1,5,50,True
45,0.9761904761904762,27.60174298286438,0.0071108341217041016,True,,1,5,200,True
46,0.9523809523809523,27.639670848846436,0.002995014190673828,True,10.0,1,2,50,True
47,0.9761904761904762,27.66694951057434,0.0,True,,1,2,50,True
48,0.9523809523809523,39.48973989486694,0.005997896194458008,True,,1,2,100,True
49,0.9761904761904762,31.342738151550293,0.008309125900268555,True,,1,2,100,True
50,0.9285714285714286,28.81420063972473,0.0045053958892822266,True,,1,5,50,True
