fold,accuracy,training_time,prediction_time,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators,oob_score
1,0.9047619047619048,19.113709449768066,0.008456945419311523,True,,1,5,200,True
2,0.8095238095238095,18.458226680755615,0.005254268646240234,True,,2,2,200,True
3,0.8809523809523809,17.820905208587646,0.007893085479736328,True,,1,2,100,True
4,0.9523809523809523,18.379053115844727,0.004359722137451172,True,,1,5,200,True
5,0.9047619047619048,18.06331992149353,0.0019969940185546875,True,,1,2,50,True
6,0.9523809523809523,18.006078958511353,0.010018110275268555,True,,1,5,200,True
7,0.7619047619047619,17.928030967712402,0.0008223056793212891,True,,1,2,200,True
8,0.9285714285714286,18.0435471534729,0.0047686100006103516,True,,1,2,200,True
9,0.9047619047619048,18.31859827041626,0.016185998916625977,True,,1,5,200,True
10,0.9285714285714286,18.315092086791992,0.001996278762817383,True,10.0,1,2,100,True
11,0.9285714285714286,17.76240563392639,0.007666349411010742,True,10.0,1,2,50,True
12,0.9285714285714286,18.059574365615845,0.0,True,10.0,1,2,50,True
13,0.8333333333333334,18.42783260345459,0.008044242858886719,True,,1,2,100,True
14,0.9047619047619048,17.666038513183594,0.0,True,10.0,1,2,100,True
15,0.9047619047619048,17.51953434944153,0.008182287216186523,True,,1,2,50,True
16,0.9285714285714286,17.518636465072632,0.0007898807525634766,True,,1,2,100,True
17,0.9047619047619048,18.103781938552856,0.0,True,10.0,1,2,200,True
18,0.9285714285714286,20.38726234436035,0.005125761032104492,True,,1,2,200,True
19,0.8809523809523809,17.768407821655273,0.0,True,,1,5,100,True
20,0.8571428571428571,23.160727739334106,0.0119476318359375,True,,1,2,200,True
21,0.9285714285714286,19.882745504379272,0.0024089813232421875,True,,1,5,50,True
22,0.7857142857142857,19.74155569076538,0.0026962757110595703,True,,1,2,50,True
23,0.8333333333333334,19.912038564682007,0.0019969940185546875,True,10.0,1,2,50,True
24,0.8571428571428571,19.79345464706421,0.0034377574920654297,True,,1,5,100,True
25,0.9523809523809523,19.596038103103638,0.003996849060058594,True,10.0,1,2,100,True
26,0.9761904761904762,25.976269006729126,0.0,True,10.0,1,2,50,True
27,0.9285714285714286,29.522568464279175,0.007160186767578125,True,10.0,1,2,100,True
28,0.8333333333333334,20.618889093399048,0.0024254322052001953,True,,1,2,200,True
29,0.9047619047619048,20.09874200820923,0.003941774368286133,True,,1,2,100,True
30,0.8571428571428571,20.226394653320312,0.0,True,,1,2,100,True
31,0.8809523809523809,20.08295726776123,0.001338958740234375,True,10.0,1,2,50,True
32,0.8571428571428571,20.26076889038086,0.010175228118896484,True,,1,2,100,True
33,0.9047619047619048,20.24220323562622,0.004462480545043945,True,,1,5,200,True
34,0.8809523809523809,19.444199323654175,0.0039014816284179688,True,,1,5,100,True
35,0.9523809523809523,19.69427514076233,0.0,True,,1,2,100,True
36,0.8809523809523809,19.977219104766846,0.0,True,10.0,1,2,100,True
37,0.9285714285714286,20.390697956085205,0.00932455062866211,True,,1,2,200,True
38,0.9047619047619048,20.74921727180481,0.005304098129272461,True,,1,2,100,True
39,0.8571428571428571,23.882943630218506,0.0031423568725585938,True,,1,2,200,True
40,0.9285714285714286,20.592042684555054,0.0,True,,1,2,50,True
41,0.9523809523809523,21.342804431915283,0.007680177688598633,True,,1,5,200,True
42,0.8095238095238095,21.786926746368408,0.0,True,,1,2,100,True
43,0.9523809523809523,18.89160656929016,0.009368658065795898,True,,1,2,50,True
44,0.9761904761904762,20.526058673858643,0.003774404525756836,True,,1,2,100,True
45,0.8333333333333334,23.944695711135864,0.0020041465759277344,True,10.0,1,2,50,True
46,0.9285714285714286,18.28688383102417,0.0,True,,1,2,50,True
47,0.9047619047619048,20.06675672531128,0.0030164718627929688,True,,1,5,100,True
48,0.9285714285714286,18.828558683395386,0.0,True,10.0,1,2,200,True
49,0.9523809523809523,18.630922079086304,0.0031900405883789062,True,10.0,1,2,100,True
50,0.8571428571428571,18.30432438850403,0.0025780200958251953,True,,1,2,200,True
