fold,accuracy,training_time,prediction_time,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators,oob_score
1,0.8918918918918919,16.994303941726685,0.0030024051666259766,True,,1,2,50,True
2,0.8648648648648649,19.56597924232483,0.0023958683013916016,True,,1,5,50,True
3,0.8611111111111112,18.7122859954834,0.003966569900512695,True,,1,2,100,True
4,0.8888888888888888,18.37519407272339,0.002000570297241211,True,,1,5,50,True
5,0.9166666666666666,18.113224744796753,0.003463268280029297,True,10.0,1,5,100,True
6,0.8378378378378378,18.14902663230896,0.0020835399627685547,True,,1,2,100,True
7,0.8108108108108109,18.551202297210693,0.0027549266815185547,True,,1,2,50,True
8,0.9166666666666666,17.89218258857727,0.009828329086303711,True,,1,5,200,True
9,0.8888888888888888,18.246021509170532,0.008016586303710938,True,,1,5,200,True
10,0.9166666666666666,19.224825859069824,0.002754688262939453,True,,2,2,50,True
11,0.8648648648648649,26.42634105682373,0.009090662002563477,True,,1,5,200,True
12,0.8648648648648649,19.763860940933228,0.0034105777740478516,True,,1,10,50,True
13,0.9166666666666666,24.907686948776245,0.00647425651550293,True,,1,5,50,True
14,0.75,21.060636281967163,0.008033037185668945,True,,2,5,100,True
15,0.8888888888888888,28.217971563339233,0.02569127082824707,True,,1,5,100,True
16,0.7567567567567568,29.19606876373291,0.007809877395629883,True,,1,2,50,True
17,0.9459459459459459,29.475589752197266,0.010617971420288086,True,,1,5,100,True
18,0.8611111111111112,30.208030939102173,0.01558542251586914,True,,1,10,200,True
19,0.75,28.210304975509644,0.005677223205566406,True,,2,2,50,True
20,0.8888888888888888,28.070952892303467,0.012015342712402344,True,,1,5,100,True
21,0.9459459459459459,27.138964653015137,0.011785507202148438,True,,1,10,200,True
22,0.8648648648648649,27.290285110473633,0.009632110595703125,True,,1,5,100,True
23,0.8888888888888888,27.037837266921997,0.0028798580169677734,True,,1,2,50,True
24,0.8888888888888888,27.05866312980652,0.0029993057250976562,True,,1,5,50,True
25,0.8888888888888888,27.075120210647583,0.005019664764404297,True,,1,5,50,True
26,0.8918918918918919,27.297632455825806,0.006023883819580078,True,,1,5,100,True
27,0.8918918918918919,29.412166357040405,0.008096694946289062,True,,1,10,100,True
28,0.9166666666666666,27.24179983139038,0.004830360412597656,True,,1,2,100,True
29,0.7777777777777778,22.846163272857666,0.0020143985748291016,True,,2,2,50,True
30,0.75,20.04753041267395,0.0027599334716796875,True,,1,5,50,True
31,0.8918918918918919,19.9596266746521,0.008535385131835938,True,10.0,1,2,200,True
32,0.8918918918918919,20.098910570144653,0.005627632141113281,True,,1,5,200,True
33,0.8055555555555556,22.172935247421265,0.0069828033447265625,True,,1,2,200,True
34,0.8611111111111112,22.035557985305786,0.005957365036010742,True,,1,5,100,True
35,0.9166666666666666,21.349196910858154,0.0028095245361328125,True,,1,2,50,True
36,0.8918918918918919,19.91791081428528,0.000997304916381836,True,,1,5,50,True
37,0.8378378378378378,20.08876609802246,0.007577419281005859,True,,1,5,200,True
38,0.8333333333333334,21.02396249771118,0.009928226470947266,True,,1,5,100,True
39,0.8333333333333334,23.07002019882202,0.014919281005859375,True,,1,2,200,True
40,0.9166666666666666,29.46488332748413,0.0171661376953125,True,,1,10,200,True
41,0.8648648648648649,22.080015659332275,0.0020885467529296875,True,,1,5,50,True
42,0.8378378378378378,19.162141799926758,0.0035185813903808594,True,,1,2,100,True
43,0.9722222222222222,19.197272539138794,0.006452322006225586,True,,1,5,200,True
44,0.8611111111111112,19.064676523208618,0.0030906200408935547,True,,1,5,100,True
45,0.9166666666666666,20.503828763961792,0.0020112991333007812,True,,1,5,50,True
46,0.8378378378378378,20.89098048210144,0.003988981246948242,True,,1,5,100,True
47,0.918918918918919,21.137393951416016,0.006536245346069336,True,,1,5,200,True
48,0.9444444444444444,21.823233127593994,0.013341426849365234,True,10.0,1,2,200,True
49,0.8888888888888888,21.954110383987427,0.005713939666748047,True,,1,2,200,True
50,0.9166666666666666,19.558324575424194,0.006585597991943359,True,,1,10,200,True
