fold,accuracy,training_time,prediction_time,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators,oob_score
1,0.9302325581395349,25.842939376831055,0.0,True,,1,2,50,True
2,0.8809523809523809,20.665146112442017,0.004232168197631836,True,,1,2,100,True
3,0.8095238095238095,28.61069655418396,0.015682458877563477,True,,1,5,200,True
4,0.9047619047619048,30.54782271385193,0.0,True,,2,5,100,True
5,0.8571428571428571,20.03580379486084,0.00885319709777832,True,,1,2,200,True
6,0.9767441860465116,20.01697850227356,0.005847454071044922,True,,1,5,200,True
7,0.7619047619047619,18.63731551170349,0.0030002593994140625,True,,1,5,50,True
8,0.9047619047619048,18.22797179222107,0.008307695388793945,True,,1,5,200,True
9,0.9523809523809523,18.611173152923584,0.0,True,,1,2,200,True
10,0.9761904761904762,17.802969455718994,0.00797271728515625,True,,1,2,100,True
11,0.9302325581395349,17.700915098190308,0.0009644031524658203,True,,1,5,50,True
12,0.9761904761904762,17.622377634048462,0.0,True,,1,2,100,True
13,0.8333333333333334,17.490792274475098,0.003000497817993164,True,,1,5,100,True
14,0.8571428571428571,17.84477925300598,0.0,True,,1,2,200,True
15,0.8333333333333334,17.481245756149292,0.002134561538696289,True,10.0,1,2,100,True
16,0.9069767441860465,18.070838689804077,0.0020017623901367188,True,,1,2,100,True
17,0.9523809523809523,23.168216228485107,0.0,True,,1,2,100,True
18,0.9047619047619048,21.81536030769348,0.0,True,10.0,1,2,200,True
19,0.8095238095238095,21.483144283294678,0.01607203483581543,True,,2,2,100,True
20,0.8571428571428571,28.80620574951172,0.012022733688354492,True,,1,5,200,True
21,0.9069767441860465,23.201030492782593,0.0,True,,1,5,50,True
22,0.8571428571428571,18.260130167007446,0.0058171749114990234,True,,1,2,200,True
23,0.8333333333333334,18.047833919525146,0.005068302154541016,True,,1,2,200,True
24,0.8571428571428571,18.048344373703003,0.002636432647705078,True,,1,5,50,True
25,0.9285714285714286,18.1425940990448,0.0,True,,1,5,50,True
26,0.9767441860465116,18.193830728530884,0.005997896194458008,True,10.0,1,5,200,True
27,0.9047619047619048,18.4969162940979,0.002595186233520508,True,,1,5,100,True
28,0.7142857142857143,18.093912601470947,0.0009660720825195312,True,,1,2,50,True
29,0.9285714285714286,18.023406505584717,0.0,True,,2,2,50,True
30,0.8809523809523809,18.016937971115112,0.0009984970092773438,True,,1,10,50,True
31,0.8604651162790697,18.14390516281128,0.005753993988037109,True,,1,2,100,True
32,0.9285714285714286,17.87373375892639,0.0060405731201171875,True,,1,2,200,True
33,0.9047619047619048,18.245712757110596,0.01263117790222168,True,10.0,1,2,200,True
34,0.8809523809523809,17.95326519012451,0.0033740997314453125,True,,1,2,100,True
35,0.9047619047619048,18.007390022277832,0.004586458206176758,True,,1,2,100,True
36,0.9302325581395349,18.06044101715088,0.0060346126556396484,True,10.0,1,2,200,True
37,0.8571428571428571,17.862935066223145,0.008647680282592773,True,,1,2,100,True
38,0.8809523809523809,18.14862322807312,0.0051996707916259766,True,,1,2,200,True
39,0.9523809523809523,17.989790678024292,0.0030062198638916016,True,,1,2,100,True
40,0.9047619047619048,19.455655813217163,0.004143238067626953,True,10.0,1,2,50,True
41,0.9069767441860465,23.031625986099243,0.0036215782165527344,True,10.0,1,2,100,True
42,0.9047619047619048,25.52864408493042,0.006932497024536133,True,,1,2,100,True
43,0.8333333333333334,26.163044691085815,0.004685401916503906,True,,2,5,100,True
44,0.9285714285714286,25.1382896900177,0.004180431365966797,True,10.0,1,2,50,True
45,0.9285714285714286,24.917328357696533,0.004563093185424805,True,,1,5,100,True
46,0.9302325581395349,24.244727849960327,0.0053327083587646484,True,,1,5,50,True
47,0.9285714285714286,26.054872035980225,0.006996631622314453,True,,1,5,50,True
48,0.9047619047619048,23.002909660339355,0.012368202209472656,True,10.0,1,5,200,True
49,0.9047619047619048,22.306586742401123,0.006028652191162109,True,,1,5,100,True
50,0.9047619047619048,22.45589303970337,0.00504302978515625,True,10.0,1,2,200,True
