fold,accuracy,training_time,prediction_time,bootstrap,max_depth,min_samples_leaf,min_samples_split,n_estimators,oob_score
1,0.9047619047619048,23.05163025856018,0.005709171295166016,True,,1,5,200,True
2,0.8333333333333334,16.565448760986328,0.004834890365600586,True,10.0,1,5,50,True
3,0.8809523809523809,18.820179224014282,0.0024678707122802734,True,,1,2,50,True
4,0.9047619047619048,18.727956771850586,0.009460210800170898,True,,1,5,200,True
5,0.9285714285714286,18.582833766937256,0.0,True,,1,5,50,True
6,0.9047619047619048,18.719411373138428,0.0,True,,1,5,100,True
7,0.7619047619047619,19.375287294387817,0.010106563568115234,True,,1,2,200,True
8,0.8571428571428571,18.631412744522095,0.0036520957946777344,True,,1,5,100,True
9,0.9761904761904762,18.44730806350708,0.0,True,,1,5,100,True
10,0.9285714285714286,18.519663095474243,0.0,True,,1,5,100,True
11,0.9047619047619048,18.6455237865448,0.0,True,,1,2,50,True
12,0.8571428571428571,18.235898971557617,0.002788543701171875,True,,1,5,50,True
13,0.8095238095238095,26.996051788330078,0.029867887496948242,True,,2,2,100,True
14,0.8571428571428571,32.79756283760071,0.0021283626556396484,True,,1,2,100,True
15,0.8809523809523809,15.80517315864563,0.0,True,,1,10,50,True
16,0.8571428571428571,18.30206799507141,0.008402347564697266,True,,1,10,50,True
17,0.9047619047619048,18.202444314956665,0.00932765007019043,True,,1,5,200,True
18,0.9285714285714286,24.8655686378479,0.003885984420776367,True,,1,2,50,True
19,0.8809523809523809,21.445050954818726,0.008356571197509766,True,,1,5,200,True
20,0.8809523809523809,18.143889904022217,0.0,True,,2,10,100,True
21,0.8571428571428571,18.440300226211548,0.004266023635864258,True,,1,2,200,True
22,0.9047619047619048,18.469571590423584,0.0,True,,1,2,50,True
23,0.8809523809523809,17.898114681243896,0.0,True,,1,2,50,True
24,0.7857142857142857,18.261270761489868,0.0,True,,1,5,50,True
25,0.9047619047619048,18.079971313476562,0.0,True,,1,10,50,True
26,0.8571428571428571,17.954159021377563,0.0,True,,1,2,50,True
27,0.9047619047619048,18.355167388916016,0.008655786514282227,True,,1,2,200,True
28,0.8571428571428571,18.095848560333252,0.007088661193847656,True,,1,2,200,True
29,0.9523809523809523,17.706366300582886,0.0,True,,1,5,50,True
30,0.8809523809523809,18.05545973777771,0.00642848014831543,True,,1,2,200,True
31,0.9285714285714286,18.00299334526062,0.007367372512817383,True,10.0,1,2,200,True
32,0.8571428571428571,18.998046875,0.00795292854309082,True,10.0,1,2,200,True
33,0.8333333333333334,25.276437759399414,0.00544285774230957,True,,1,2,50,True
34,0.7380952380952381,22.832091093063354,0.010428905487060547,True,,2,2,100,True
35,0.9761904761904762,23.05392098426819,0.006123781204223633,True,10.0,1,2,100,True
36,0.8095238095238095,31.61767029762268,0.012124061584472656,True,10.0,1,5,100,True
37,0.8571428571428571,35.04250359535217,0.0035009384155273438,True,10.0,1,2,50,True
38,0.9285714285714286,35.615159034729004,0.02418971061706543,True,,1,2,200,True
39,0.9047619047619048,29.780986547470093,0.004826068878173828,True,,1,2,50,True
40,0.8333333333333334,15.170180797576904,0.0008649826049804688,True,,1,10,100,True
41,0.9285714285714286,18.04283571243286,0.001840829849243164,True,,1,5,50,True
42,0.7619047619047619,18.118449211120605,0.0015108585357666016,True,,1,2,50,True
43,0.9047619047619048,18.10174560546875,0.0062940120697021484,True,,1,5,200,True
44,0.9523809523809523,17.89191246032715,0.0,True,,1,10,100,True
45,0.8809523809523809,18.19188904762268,0.0,True,,1,5,100,True
46,0.9047619047619048,17.9194438457489,0.01280665397644043,True,10.0,1,2,200,True
47,0.8571428571428571,17.81868624687195,0.005843162536621094,True,,1,10,100,True
48,0.8809523809523809,18.182601928710938,0.012381315231323242,True,,1,5,200,True
49,0.9285714285714286,17.709631204605103,0.0,True,,1,2,50,True
50,0.8809523809523809,18.184849739074707,0.010029315948486328,True,,1,2,200,True
