Fold,Accuracy,OOB_Score,Mean_Tree_Depth,Training_Time,Prediction_Time
1,1.0,0.9404761904761905,9.69,0.15266084671020508,0.003656625747680664
2,0.9761904761904762,0.9523809523809523,9.47,0.16836166381835938,0.008382320404052734
3,0.9523809523809523,0.9464285714285714,9.37,0.1853644847869873,0.0067517757415771484
4,0.9285714285714286,0.9583333333333334,9.18,0.1811208724975586,0.006668567657470703
5,0.9047619047619048,0.9523809523809523,9.6,0.21923589706420898,0.0059049129486083984
6,0.9523809523809523,0.9702380952380952,9.2,0.1566634178161621,0.006810903549194336
7,0.9761904761904762,0.9404761904761905,9.7,0.19286274909973145,0.0
8,0.9285714285714286,0.9226190476190477,9.32,0.19356036186218262,0.013053417205810547
9,0.9523809523809523,0.9702380952380952,9.22,0.19952106475830078,0.0
10,0.9047619047619048,0.9464285714285714,9.31,0.18705272674560547,0.004254579544067383
11,0.9285714285714286,0.9404761904761905,9.47,0.2192997932434082,0.009238958358764648
12,0.9761904761904762,0.9464285714285714,9.48,0.1428670883178711,0.0
13,0.9523809523809523,0.9702380952380952,9.33,0.21048569679260254,0.0
14,0.9047619047619048,0.9702380952380952,8.96,0.19788241386413574,0.0
15,0.9761904761904762,0.9523809523809523,9.58,0.15015363693237305,0.006998538970947266
16,0.9523809523809523,0.9523809523809523,9.29,0.17236948013305664,0.0
17,0.9285714285714286,0.9642857142857143,9.0,0.21004557609558105,0.0
18,0.9761904761904762,0.9285714285714286,9.16,0.14352679252624512,0.006016254425048828
19,0.9761904761904762,0.9285714285714286,9.59,0.18424034118652344,0.0
20,1.0,0.9226190476190477,9.34,0.19357037544250488,0.0
21,0.9285714285714286,0.9523809523809523,9.14,0.16194367408752441,0.005453586578369141
22,0.9761904761904762,0.9464285714285714,9.26,0.20016169548034668,0.01258540153503418
23,0.8333333333333334,0.9821428571428571,9.18,0.1682431697845459,0.008075714111328125
24,1.0,0.9464285714285714,9.68,0.16366362571716309,0.011791467666625977
25,0.9285714285714286,0.9285714285714286,9.37,0.18907403945922852,0.006594657897949219
26,0.9047619047619048,0.9761904761904762,9.13,0.1857154369354248,0.004757881164550781
27,0.9761904761904762,0.9464285714285714,9.47,0.1431293487548828,0.0
28,1.0,0.9404761904761905,9.37,0.16741299629211426,0.0026941299438476562
29,0.9523809523809523,0.9404761904761905,9.32,0.1627519130706787,0.010851383209228516
30,0.9523809523809523,0.9523809523809523,9.75,0.1635904312133789,0.0
31,0.9523809523809523,0.9464285714285714,9.01,0.16408443450927734,0.0009124279022216797
32,1.0,0.9464285714285714,9.41,0.19007492065429688,0.0019519329071044922
33,0.9523809523809523,0.9464285714285714,9.52,0.19252395629882812,0.003948688507080078
34,0.9285714285714286,0.9345238095238095,9.51,0.16854500770568848,0.008018255233764648
35,0.9285714285714286,0.9583333333333334,9.01,0.1803264617919922,0.006186008453369141
36,0.9523809523809523,0.9523809523809523,9.54,0.17024636268615723,0.003848552703857422
37,0.8571428571428571,0.9523809523809523,9.31,0.1717696189880371,0.008649826049804688
38,0.9285714285714286,0.9464285714285714,9.27,0.1810619831085205,0.004715919494628906
39,0.9285714285714286,0.9642857142857143,9.46,0.1636216640472412,0.00552678108215332
40,0.9761904761904762,0.9464285714285714,9.49,0.163804292678833,0.00670623779296875
41,0.9047619047619048,0.9702380952380952,9.14,0.1486663818359375,0.010688066482543945
42,0.9761904761904762,0.9464285714285714,9.26,0.1653270721435547,0.004016876220703125
43,0.9761904761904762,0.9404761904761905,9.83,0.1703174114227295,0.007794380187988281
44,0.9523809523809523,0.9523809523809523,9.33,0.14944839477539062,0.014389753341674805
45,1.0,0.9345238095238095,9.5,0.158447265625,0.0020122528076171875
46,0.9523809523809523,0.9464285714285714,9.13,0.15107250213623047,0.0
47,0.9761904761904762,0.9345238095238095,9.36,0.1532878875732422,0.015661239624023438
48,0.9523809523809523,0.9523809523809523,9.35,0.1623530387878418,0.0
49,0.9761904761904762,0.9404761904761905,9.67,0.14037132263183594,0.015764951705932617
50,0.9761904761904762,0.9404761904761905,9.36,0.16606569290161133,0.0
