Fold,Accuracy,OOB_Score,Mean_Tree_Depth,Training_Time,Prediction_Time
1,0.9302325581395349,0.875,10.99,0.21538352966308594,0.008450508117675781
2,0.8809523809523809,0.8698224852071006,10.13,0.15314865112304688,0.002596616744995117
3,0.8809523809523809,0.8994082840236687,10.89,0.2071523666381836,0.003077268600463867
4,0.9285714285714286,0.893491124260355,10.88,0.15763497352600098,0.002016305923461914
5,0.8571428571428571,0.9171597633136095,10.73,0.1654648780822754,0.0042989253997802734
6,0.9534883720930233,0.8869047619047619,11.01,0.16438746452331543,0.006792783737182617
7,0.7380952380952381,0.9171597633136095,10.51,0.17072558403015137,0.004168033599853516
8,0.8571428571428571,0.893491124260355,9.84,0.1700289249420166,0.0031480789184570312
9,0.9523809523809523,0.9230769230769231,10.93,0.16835260391235352,0.004015207290649414
10,0.9761904761904762,0.8994082840236687,11.1,0.15623044967651367,0.0
11,0.9302325581395349,0.8928571428571429,10.84,0.16331791877746582,0.0
12,0.9761904761904762,0.8757396449704142,11.18,0.182814359664917,0.005032062530517578
13,0.8571428571428571,0.9230769230769231,10.44,0.17573142051696777,0.005789041519165039
14,0.8333333333333334,0.9171597633136095,11.07,0.15326142311096191,0.008028268814086914
15,0.8333333333333334,0.9112426035502958,10.17,0.17079877853393555,0.0034627914428710938
16,0.9069767441860465,0.875,11.04,0.18381953239440918,0.0021104812622070312
17,0.9523809523809523,0.8757396449704142,11.28,0.16215276718139648,0.008536815643310547
18,0.9047619047619048,0.9053254437869822,10.45,0.16695475578308105,0.0050504207611083984
19,0.8809523809523809,0.9112426035502958,10.08,0.1613926887512207,0.0
20,0.8571428571428571,0.9112426035502958,10.55,0.15780258178710938,0.002009153366088867
21,0.9069767441860465,0.8869047619047619,10.85,0.1636967658996582,0.006623029708862305
22,0.8809523809523809,0.9053254437869822,10.76,0.17483139038085938,0.0
23,0.8571428571428571,0.9112426035502958,10.77,0.15621066093444824,0.0
24,0.8571428571428571,0.9289940828402367,10.63,0.14986157417297363,0.005927562713623047
25,0.9761904761904762,0.8698224852071006,11.1,0.16402220726013184,0.005926847457885742
26,0.9767441860465116,0.8928571428571429,10.85,0.15482425689697266,0.0
27,0.9047619047619048,0.893491124260355,10.67,0.15998196601867676,0.010050773620605469
28,0.7619047619047619,0.8994082840236687,10.46,0.16575217247009277,0.002012968063354492
29,0.9285714285714286,0.9112426035502958,11.04,0.1723475456237793,0.0037200450897216797
30,0.9285714285714286,0.8816568047337278,10.85,0.15512871742248535,0.0
31,0.8604651162790697,0.8928571428571429,10.56,0.16029644012451172,0.003172636032104492
32,0.9285714285714286,0.8757396449704142,11.14,0.15383052825927734,0.0
33,0.9047619047619048,0.9112426035502958,10.65,0.16622567176818848,0.0
34,0.8809523809523809,0.8994082840236687,10.46,0.17210888862609863,0.003213644027709961
35,0.9047619047619048,0.863905325443787,10.43,0.18009328842163086,0.004043102264404297
36,0.9302325581395349,0.8928571428571429,11.05,0.17095685005187988,0.010553121566772461
37,0.8571428571428571,0.9053254437869822,9.5,0.18056988716125488,0.00409388542175293
38,0.9047619047619048,0.8994082840236687,11.03,0.17040371894836426,0.005751132965087891
39,0.9523809523809523,0.8875739644970414,11.06,0.17424678802490234,0.005883455276489258
40,0.9285714285714286,0.8816568047337278,10.8,0.17827939987182617,0.008813142776489258
41,0.9069767441860465,0.875,10.72,0.21504759788513184,0.004065513610839844
42,0.9047619047619048,0.893491124260355,10.6,0.17988038063049316,0.0036308765411376953
43,0.8571428571428571,0.9230769230769231,10.42,0.18013215065002441,0.005521297454833984
44,0.9285714285714286,0.8875739644970414,11.41,0.15999770164489746,0.0026023387908935547
45,0.9285714285714286,0.9053254437869822,11.03,0.18547463417053223,0.0063266754150390625
46,0.9302325581395349,0.9047619047619048,10.68,0.16907835006713867,0.004529714584350586
47,0.9285714285714286,0.9053254437869822,11.16,0.16469311714172363,0.006343364715576172
48,0.9047619047619048,0.8994082840236687,10.36,0.15982699394226074,0.005077362060546875
49,0.9047619047619048,0.893491124260355,10.45,0.17078733444213867,0.003945827484130859
50,0.9047619047619048,0.8816568047337278,10.94,0.16049885749816895,0.0037763118743896484
