Fold,Accuracy,OOB_Score,Mean_Tree_Depth,Training_Time,Prediction_Time
1,0.9523809523809523,0.8809523809523809,10.55,0.2001636028289795,0.002007007598876953
2,0.8333333333333334,0.8869047619047619,10.49,0.10750937461853027,0.0
3,0.8809523809523809,0.9166666666666666,10.38,0.09993648529052734,0.0
4,0.9285714285714286,0.9285714285714286,10.6,0.09129881858825684,0.0
5,0.9047619047619048,0.9107142857142857,10.59,0.12545228004455566,0.0
6,0.9285714285714286,0.8988095238095238,10.8,0.08271431922912598,0.0
7,0.7619047619047619,0.9285714285714286,9.94,0.12352371215820312,0.00443577766418457
8,0.9285714285714286,0.8690476190476191,10.07,0.07576584815979004,0.0
9,0.9285714285714286,0.9226190476190477,10.98,0.09130001068115234,0.003985166549682617
10,0.9285714285714286,0.9047619047619048,10.67,0.10624003410339355,0.0
11,0.9047619047619048,0.9107142857142857,10.36,0.07897710800170898,0.0
12,0.9047619047619048,0.875,10.54,0.11058831214904785,0.0015265941619873047
13,0.8333333333333334,0.9107142857142857,10.25,0.09510636329650879,0.0
14,0.8571428571428571,0.9107142857142857,10.51,0.10053539276123047,0.0
15,0.9285714285714286,0.9047619047619048,10.63,0.10542750358581543,0.0030117034912109375
16,0.9285714285714286,0.8928571428571429,10.85,0.09411215782165527,0.0
17,0.9285714285714286,0.8869047619047619,10.69,0.09397125244140625,0.00842428207397461
18,0.9285714285714286,0.8928571428571429,10.37,0.09043693542480469,0.0
19,0.8333333333333334,0.8869047619047619,10.04,0.09337449073791504,0.0030231475830078125
20,0.8571428571428571,0.8988095238095238,10.47,0.08789777755737305,0.011502504348754883
21,0.9285714285714286,0.875,10.73,0.08397531509399414,0.0
22,0.8095238095238095,0.9047619047619048,10.06,0.07793712615966797,0.015720844268798828
23,0.8333333333333334,0.9345238095238095,10.47,0.09303545951843262,0.0
24,0.8809523809523809,0.9285714285714286,9.97,0.09836769104003906,0.0
25,0.9761904761904762,0.8809523809523809,10.57,0.09360551834106445,0.0
26,0.9523809523809523,0.8928571428571429,10.46,0.09446430206298828,0.003513813018798828
27,0.9047619047619048,0.9047619047619048,10.42,0.08839869499206543,0.0
28,0.8333333333333334,0.9166666666666666,9.98,0.0921025276184082,0.008398056030273438
29,0.9047619047619048,0.9047619047619048,10.78,0.0815727710723877,0.0
30,0.8571428571428571,0.9107142857142857,10.14,0.09426140785217285,0.0
31,0.8809523809523809,0.8928571428571429,10.19,0.08415889739990234,0.0
32,0.8571428571428571,0.8988095238095238,10.52,0.09167695045471191,0.0
33,0.8809523809523809,0.9166666666666666,10.45,0.09892416000366211,0.0
34,0.8809523809523809,0.8869047619047619,10.51,0.08474516868591309,0.007825136184692383
35,0.9523809523809523,0.8869047619047619,10.49,0.08550333976745605,0.0
36,0.8571428571428571,0.9226190476190477,10.17,0.11432147026062012,0.012257099151611328
37,0.9285714285714286,0.8988095238095238,10.72,0.07814764976501465,0.0
38,0.9047619047619048,0.8869047619047619,10.47,0.09789395332336426,0.0
39,0.8095238095238095,0.8988095238095238,10.39,0.10682249069213867,0.003032207489013672
40,0.9047619047619048,0.8988095238095238,10.98,0.09954166412353516,0.002379179000854492
41,0.9523809523809523,0.8988095238095238,10.81,0.09283685684204102,0.0019974708557128906
42,0.8095238095238095,0.9285714285714286,9.73,0.1027669906616211,0.0020172595977783203
43,0.9523809523809523,0.8571428571428571,10.56,0.09335565567016602,0.0
44,0.9761904761904762,0.8571428571428571,10.96,0.09907341003417969,0.0010287761688232422
45,0.8333333333333334,0.9226190476190477,10.35,0.1027984619140625,0.0020034313201904297
46,0.9285714285714286,0.8928571428571429,10.65,0.08921575546264648,0.0
47,0.8571428571428571,0.8988095238095238,10.39,0.09028959274291992,0.0
48,0.9523809523809523,0.8869047619047619,10.89,0.08155465126037598,0.0
49,0.9523809523809523,0.8928571428571429,10.62,0.0980994701385498,0.002994060516357422
50,0.8095238095238095,0.9345238095238095,9.8,0.09572625160217285,0.002057790756225586
