Fold,Accuracy,OOB_Score,Mean_Tree_Depth,Training_Time,Prediction_Time
1,0.8648648648648649,0.8413793103448276,9.76,0.09227871894836426,0.0
2,0.8648648648648649,0.8413793103448276,9.78,0.09233808517456055,0.0021054744720458984
3,0.8611111111111112,0.8904109589041096,8.86,0.11507225036621094,0.0005462169647216797
4,0.8888888888888888,0.910958904109589,9.69,0.10046195983886719,0.0
5,0.9166666666666666,0.8561643835616438,9.7,0.08979105949401855,0.0
6,0.8378378378378378,0.8758620689655172,9.14,0.09179902076721191,0.008153915405273438
7,0.8108108108108109,0.903448275862069,9.29,0.09143733978271484,0.008208751678466797
8,0.9166666666666666,0.8561643835616438,9.62,0.1041872501373291,0.0018506050109863281
9,0.9444444444444444,0.8767123287671232,9.97,0.09505844116210938,0.004636287689208984
10,0.8888888888888888,0.8561643835616438,10.15,0.09019327163696289,0.005012989044189453
11,0.918918918918919,0.8620689655172413,9.74,0.11254024505615234,0.007134914398193359
12,0.8918918918918919,0.8689655172413793,9.37,0.0903174877166748,0.0019021034240722656
13,0.9166666666666666,0.9041095890410958,9.38,0.09771990776062012,0.0
14,0.6944444444444444,0.8904109589041096,9.24,0.11015009880065918,0.0
15,0.8888888888888888,0.8767123287671232,9.8,0.08031678199768066,0.008702516555786133
16,0.7567567567567568,0.896551724137931,8.96,0.09012436866760254,0.0
17,0.9459459459459459,0.8551724137931035,9.52,0.0996086597442627,0.0
18,0.8333333333333334,0.8835616438356164,9.15,0.08583211898803711,0.0
19,0.8611111111111112,0.863013698630137,9.69,0.0943906307220459,0.0037336349487304688
20,0.9444444444444444,0.8424657534246576,10.02,0.10240817070007324,0.0024538040161132812
21,0.918918918918919,0.8482758620689655,9.97,0.09784555435180664,0.0024187564849853516
22,0.8918918918918919,0.8758620689655172,9.74,0.09599637985229492,0.001988649368286133
23,0.9166666666666666,0.8767123287671232,9.27,0.09102201461791992,0.006443500518798828
24,0.8888888888888888,0.863013698630137,9.61,0.09034013748168945,0.0
25,0.8888888888888888,0.863013698630137,9.09,0.0868372917175293,0.0
26,0.8918918918918919,0.8758620689655172,9.73,0.09584164619445801,0.0038836002349853516
27,0.918918918918919,0.8344827586206897,9.86,0.09013152122497559,0.0
28,0.9166666666666666,0.8835616438356164,9.62,0.09473490715026855,0.0018265247344970703
29,0.8055555555555556,0.8767123287671232,9.74,0.10536456108093262,0.002760648727416992
30,0.8611111111111112,0.910958904109589,9.26,0.09360623359680176,0.00251007080078125
31,0.8918918918918919,0.8620689655172413,9.46,0.08992481231689453,0.002203702926635742
32,0.8648648648648649,0.8827586206896552,9.63,0.09242844581604004,0.005668163299560547
33,0.8055555555555556,0.8698630136986302,9.12,0.08977365493774414,0.00214385986328125
34,0.8333333333333334,0.8835616438356164,9.91,0.08620929718017578,0.005846261978149414
35,0.9166666666666666,0.8493150684931506,9.69,0.09629440307617188,0.0
36,0.8648648648648649,0.8689655172413793,9.49,0.09491372108459473,0.0
37,0.8918918918918919,0.8896551724137931,9.32,0.08971261978149414,0.0
38,0.8888888888888888,0.8904109589041096,9.43,0.09537768363952637,0.0
39,0.8333333333333334,0.8904109589041096,9.41,0.08827328681945801,0.002004384994506836
40,0.9166666666666666,0.8561643835616438,9.76,0.08515405654907227,0.005034923553466797
41,0.8108108108108109,0.896551724137931,9.08,0.09229707717895508,0.0
42,0.8378378378378378,0.8551724137931035,9.39,0.09320926666259766,0.0025072097778320312
43,1.0,0.8082191780821918,9.72,0.0942990779876709,0.0
44,0.8888888888888888,0.8767123287671232,9.6,0.09988856315612793,0.0
45,0.8888888888888888,0.8561643835616438,9.91,0.09232711791992188,0.0
46,0.8648648648648649,0.8896551724137931,9.64,0.08481526374816895,0.009777307510375977
47,0.8648648648648649,0.8620689655172413,9.61,0.08678412437438965,0.0
48,0.9444444444444444,0.8561643835616438,9.42,0.08798408508300781,0.0
49,0.8888888888888888,0.863013698630137,9.45,0.08838486671447754,0.0036973953247070312
50,0.9444444444444444,0.8698630136986302,9.26,0.09997224807739258,0.002005338668823242
