Fold,Accuracy,OOB_Score,Mean_Tree_Depth,Training_Time,Prediction_Time
1,0.9285714285714286,0.8869047619047619,9.71,0.16295790672302246,0.0048258304595947266
2,0.8571428571428571,0.8809523809523809,9.78,0.1750195026397705,0.00576019287109375
3,0.8809523809523809,0.8869047619047619,9.66,0.19820141792297363,0.003713369369506836
4,0.8809523809523809,0.8988095238095238,9.96,0.17432117462158203,0.0012669563293457031
5,0.9285714285714286,0.8869047619047619,9.83,0.16313862800598145,0.0032422542572021484
6,0.9047619047619048,0.8869047619047619,10.18,0.1749894618988037,0.005076408386230469
7,0.7619047619047619,0.9047619047619048,9.12,0.17319416999816895,0.008688926696777344
8,0.8809523809523809,0.9047619047619048,9.78,0.16580700874328613,0.0021088123321533203
9,0.9761904761904762,0.8809523809523809,10.16,0.19295406341552734,0.005095005035400391
10,0.9285714285714286,0.8869047619047619,10.32,0.1852247714996338,0.004778385162353516
11,0.9285714285714286,0.8690476190476191,9.69,0.19999384880065918,0.00555729866027832
12,0.8571428571428571,0.8869047619047619,9.93,0.17968034744262695,0.004306793212890625
13,0.8095238095238095,0.9166666666666666,9.99,0.19797468185424805,0.00788259506225586
14,0.8571428571428571,0.8809523809523809,9.76,0.18374133110046387,0.0
15,0.9285714285714286,0.8869047619047619,10.17,0.20439386367797852,0.002012491226196289
16,0.9047619047619048,0.875,9.78,0.17980480194091797,0.00834345817565918
17,0.9047619047619048,0.875,10.11,0.1917436122894287,0.006077766418457031
18,0.9285714285714286,0.8869047619047619,9.49,0.18482637405395508,0.007383108139038086
19,0.8809523809523809,0.9107142857142857,9.26,0.18005061149597168,0.0020151138305664062
20,0.8571428571428571,0.8809523809523809,9.98,0.20334887504577637,0.008512735366821289
21,0.8571428571428571,0.875,10.0,0.16727924346923828,0.001313924789428711
22,0.8809523809523809,0.8928571428571429,9.64,0.16553878784179688,0.0032138824462890625
23,0.8809523809523809,0.8809523809523809,10.01,0.15375256538391113,0.004331827163696289
24,0.8095238095238095,0.8988095238095238,9.58,0.17994189262390137,0.0050013065338134766
25,0.9523809523809523,0.8571428571428571,10.21,0.16174650192260742,0.0046613216400146484
26,0.8571428571428571,0.8988095238095238,9.84,0.16636991500854492,0.0030226707458496094
27,0.8809523809523809,0.8869047619047619,9.92,0.17634963989257812,0.004038572311401367
28,0.8333333333333334,0.8809523809523809,9.72,0.16747546195983887,0.004606962203979492
29,0.9761904761904762,0.875,10.09,0.1566469669342041,0.0052678585052490234
30,0.8809523809523809,0.875,9.37,0.18230724334716797,0.003577709197998047
31,0.9285714285714286,0.875,10.05,0.15725016593933105,0.005469799041748047
32,0.8571428571428571,0.8988095238095238,9.88,0.17602849006652832,0.005682468414306641
33,0.8571428571428571,0.9047619047619048,9.98,0.15202927589416504,0.005433320999145508
34,0.7857142857142857,0.9047619047619048,9.37,0.16028666496276855,0.0
35,0.9761904761904762,0.875,10.34,0.1603093147277832,0.0027396678924560547
36,0.8571428571428571,0.8988095238095238,9.21,0.18121957778930664,0.0
37,0.8809523809523809,0.9107142857142857,9.92,0.1682579517364502,0.005401611328125
38,0.9523809523809523,0.875,10.24,0.15976810455322266,0.0030574798583984375
39,0.9285714285714286,0.8809523809523809,9.9,0.21680712699890137,0.00879049301147461
40,0.8333333333333334,0.9226190476190477,9.92,0.16055870056152344,0.004053592681884766
41,0.9285714285714286,0.8809523809523809,10.3,0.17252111434936523,0.001705169677734375
42,0.7619047619047619,0.9166666666666666,9.59,0.15595722198486328,0.004824399948120117
43,0.9047619047619048,0.8630952380952381,9.78,0.1549665927886963,0.005743265151977539
44,1.0,0.8690476190476191,9.98,0.16699004173278809,0.0031080245971679688
45,0.8809523809523809,0.9285714285714286,9.55,0.16490721702575684,0.006563663482666016
46,0.9047619047619048,0.8690476190476191,10.15,0.15177297592163086,0.0025773048400878906
47,0.9047619047619048,0.875,9.9,0.15560150146484375,0.007000446319580078
48,0.9047619047619048,0.8630952380952381,10.14,0.16423630714416504,0.007539987564086914
49,0.9047619047619048,0.875,9.86,0.15846872329711914,0.00450587272644043
50,0.8571428571428571,0.8869047619047619,9.22,0.15015554428100586,0.010008573532104492
