fold,accuracy,training_time,prediction_time,C,degree,gamma,kernel
1,0.9761904761904762,5.538297653198242,0.0,10.0,2,scale,poly
2,0.9761904761904762,0.6683061122894287,0.0018711090087890625,100.0,2,scale,rbf
3,0.9523809523809523,0.6405138969421387,0.0,10.0,2,scale,poly
4,0.9285714285714286,0.6506938934326172,0.0020093917846679688,10.0,3,scale,poly
5,0.9047619047619048,0.6805272102355957,0.0,10.0,2,scale,rbf
6,0.9285714285714286,0.6728107929229736,0.0,100.0,2,scale,rbf
7,0.9047619047619048,0.692359447479248,0.0,100.0,2,scale,rbf
8,0.9047619047619048,0.6554501056671143,0.0,1.0,4,scale,poly
9,0.9285714285714286,0.6939823627471924,0.0,10.0,2,scale,poly
10,0.9047619047619048,0.6640312671661377,0.0,1.0,4,scale,poly
11,0.9761904761904762,0.657710075378418,0.0,10.0,4,scale,poly
12,0.9047619047619048,0.6378598213195801,0.0,1.0,3,scale,poly
13,0.9285714285714286,0.6673860549926758,0.0,100.0,2,scale,poly
14,0.9047619047619048,0.7699801921844482,0.0,10.0,3,scale,poly
15,0.9523809523809523,0.6808631420135498,0.0,1.0,4,scale,poly
16,0.9523809523809523,0.636286735534668,0.0,10.0,3,scale,poly
17,0.9285714285714286,0.7160303592681885,0.0,10.0,2,scale,rbf
18,0.8809523809523809,0.6742498874664307,0.0,0.1,4,scale,poly
19,0.9047619047619048,0.6816651821136475,0.0,10.0,2,scale,poly
20,0.9761904761904762,0.775700569152832,0.0,10.0,3,scale,poly
21,0.9047619047619048,0.7437269687652588,0.0,1.0,3,scale,poly
22,0.9761904761904762,0.6937146186828613,0.0,1.0,3,scale,poly
23,0.7380952380952381,0.6667850017547607,0.0,100.0,2,scale,poly
24,1.0,0.6258015632629395,0.0,100.0,2,scale,rbf
25,0.9047619047619048,0.6588737964630127,0.0,10.0,3,scale,poly
26,0.9285714285714286,0.7023909091949463,0.0,100.0,2,scale,poly
27,0.9523809523809523,0.722679853439331,0.0,10.0,2,scale,rbf
28,0.9285714285714286,0.6508684158325195,0.0,1.0,3,scale,poly
29,0.9285714285714286,0.6587498188018799,0.0,100.0,2,auto,rbf
30,0.9523809523809523,0.6339681148529053,0.0,100.0,3,scale,poly
31,0.9285714285714286,0.6160385608673096,0.0,1.0,4,scale,poly
32,0.9285714285714286,0.6085522174835205,0.0,0.1,4,scale,poly
33,0.9285714285714286,0.5832104682922363,0.0,10.0,2,scale,poly
34,0.9047619047619048,0.6166336536407471,0.0,10.0,3,scale,poly
35,0.9285714285714286,0.5905869007110596,0.0,10.0,2,scale,poly
36,0.9523809523809523,0.6783654689788818,0.0,100.0,2,scale,poly
37,0.8809523809523809,0.6835954189300537,0.0,1.0,3,scale,poly
38,0.9285714285714286,0.6740140914916992,0.0,10.0,2,scale,poly
39,0.9523809523809523,0.6537172794342041,0.0,100.0,2,scale,rbf
40,0.9761904761904762,0.5884974002838135,0.0,10.0,4,scale,poly
41,0.8571428571428571,0.6072869300842285,0.0,10.0,2,scale,poly
42,0.9285714285714286,0.6168749332427979,0.0,100.0,2,scale,rbf
43,0.9761904761904762,0.5997896194458008,0.0,100.0,3,scale,poly
44,0.9285714285714286,0.5922131538391113,0.0,100.0,2,auto,rbf
45,0.9761904761904762,0.5832211971282959,0.0,100.0,2,auto,poly
46,0.9285714285714286,0.6242263317108154,0.0,100.0,2,auto,poly
47,0.9761904761904762,0.6415143013000488,0.0,1.0,4,scale,poly
48,0.9285714285714286,0.6443159580230713,0.0,100.0,2,auto,poly
49,0.9047619047619048,0.7057716846466064,0.007284402847290039,1.0,4,scale,poly
50,0.9285714285714286,0.6584253311157227,0.0,10.0,4,scale,poly
