fold,accuracy,training_time,prediction_time,C,degree,gamma,kernel
1,0.9534883720930233,0.5142786502838135,0.0,100,2,scale,rbf
2,0.8809523809523809,0.5138192176818848,0.0,10,2,scale,rbf
3,0.8809523809523809,0.4828605651855469,0.0,10,2,scale,rbf
4,0.9285714285714286,0.49301910400390625,0.0,100,2,auto,rbf
5,0.9285714285714286,0.4620625972747803,0.008104085922241211,10,2,scale,rbf
6,0.9767441860465116,0.4538140296936035,0.0,10,2,scale,rbf
7,0.7857142857142857,0.43778252601623535,0.0,100,2,scale,rbf
8,0.8571428571428571,0.4421811103820801,0.0,100,2,auto,rbf
9,0.9523809523809523,0.4648714065551758,0.005063533782958984,100,2,auto,rbf
10,0.9761904761904762,0.6390275955200195,0.0,10,2,scale,rbf
11,0.9069767441860465,0.45111703872680664,0.0,100,2,scale,rbf
12,0.8333333333333334,0.4849560260772705,0.0,1,3,scale,poly
13,0.8809523809523809,0.4778008460998535,0.0013968944549560547,10,2,scale,rbf
14,0.9285714285714286,0.4674253463745117,0.0,10,2,scale,rbf
15,0.8333333333333334,0.48284244537353516,0.0,10,2,scale,rbf
16,0.9069767441860465,0.49682021141052246,0.0,100,2,auto,rbf
17,1.0,0.47333645820617676,0.0,10,2,scale,rbf
18,0.8809523809523809,0.46510839462280273,0.0,10,2,scale,rbf
19,0.8095238095238095,0.45375633239746094,0.0,100,2,scale,rbf
20,0.9285714285714286,0.44629907608032227,0.0,10,2,scale,rbf
21,0.9302325581395349,0.4499022960662842,0.0,100,2,auto,rbf
22,0.8095238095238095,0.45165443420410156,0.0,100,2,scale,rbf
23,0.9523809523809523,0.452089786529541,0.0,10,2,scale,rbf
24,0.8333333333333334,0.45633816719055176,0.0,100,2,auto,rbf
25,0.9523809523809523,0.4736499786376953,0.0,100,2,scale,rbf
26,0.9534883720930233,0.4438328742980957,0.0,10,2,scale,rbf
27,0.9047619047619048,0.4463672637939453,0.0,10,2,scale,rbf
28,0.8095238095238095,0.4496476650238037,0.0,10,2,scale,rbf
29,0.8809523809523809,0.43199777603149414,0.0,10,2,scale,poly
30,0.9285714285714286,0.44280123710632324,0.0011458396911621094,100,2,scale,rbf
31,0.9069767441860465,0.42514514923095703,0.0,10,2,scale,rbf
32,0.9285714285714286,0.4391038417816162,0.0,10,2,scale,rbf
33,0.9285714285714286,0.43396568298339844,0.0,10,2,scale,rbf
34,0.8809523809523809,0.43976521492004395,0.0,100,2,scale,rbf
35,0.8809523809523809,0.44646143913269043,0.0,10,2,scale,rbf
36,0.9534883720930233,0.4450569152832031,0.0,10,2,scale,rbf
37,0.7857142857142857,0.4308743476867676,0.0056455135345458984,100,2,auto,rbf
38,0.9047619047619048,0.4279017448425293,0.0,10,2,scale,rbf
39,0.9523809523809523,0.4400501251220703,0.0,10,2,scale,rbf
40,0.9285714285714286,0.44426465034484863,0.0,10,2,scale,rbf
41,0.8837209302325582,0.4519765377044678,0.0,10,2,scale,rbf
42,0.8809523809523809,0.44219112396240234,0.0,100,2,auto,rbf
43,0.8333333333333334,0.4436464309692383,0.002600431442260742,1,2,scale,poly
44,0.9761904761904762,0.4297459125518799,0.0,10,2,scale,rbf
45,0.8809523809523809,0.43889832496643066,0.0,100,2,auto,rbf
46,0.8604651162790697,0.43748044967651367,0.0,10,2,scale,rbf
47,0.9523809523809523,0.43869924545288086,0.0,10,2,scale,rbf
48,0.8333333333333334,0.43169116973876953,0.0,10,2,scale,rbf
49,0.9047619047619048,0.4399528503417969,0.0,10,2,scale,rbf
50,0.9047619047619048,0.44138312339782715,0.0,10,2,scale,rbf
