fold,accuracy,training_time,prediction_time,C,degree,gamma,kernel
1,0.9523809523809523,3.2559561729431152,0.0,100,2,scale,poly
2,0.8571428571428571,0.3536820411682129,0.0,100,2,scale,linear
3,0.8809523809523809,0.36942076683044434,0.0,10,2,scale,rbf
4,0.9285714285714286,0.44065260887145996,0.0,10,2,scale,rbf
5,0.9761904761904762,0.3681371212005615,0.0,10,2,scale,poly
6,0.8809523809523809,0.39014506340026855,0.0,10,2,scale,poly
7,0.7857142857142857,0.386782169342041,0.0,10,2,scale,rbf
8,0.8571428571428571,0.40054845809936523,0.0,10,2,scale,rbf
9,0.9523809523809523,0.39129185676574707,0.0,100,2,auto,poly
10,0.9523809523809523,0.3735678195953369,0.0,1,3,scale,poly
11,0.8809523809523809,0.3700287342071533,0.0,10,2,scale,rbf
12,0.8095238095238095,0.3964111804962158,0.0,10,2,scale,poly
13,0.8333333333333334,0.37843823432922363,0.0,10,2,scale,rbf
14,0.8809523809523809,0.3691084384918213,0.0,10,2,scale,poly
15,0.9285714285714286,0.3802146911621094,0.0,1,2,scale,poly
16,0.9047619047619048,0.39978981018066406,0.0,1,3,scale,poly
17,0.9047619047619048,0.38970184326171875,0.0,1,3,scale,poly
18,0.9285714285714286,0.36377573013305664,0.0,10,2,scale,poly
19,0.8809523809523809,0.36956262588500977,0.0,100,2,auto,poly
20,0.8809523809523809,0.3499581813812256,0.0,10,2,scale,rbf
21,0.9761904761904762,0.3585624694824219,0.0,100,2,auto,rbf
22,0.9047619047619048,0.3598055839538574,0.0,100,2,auto,rbf
23,0.8333333333333334,0.35866332054138184,0.0,100,2,auto,poly
24,0.8571428571428571,0.35408616065979004,0.0,100,2,auto,poly
25,0.9285714285714286,0.3854966163635254,0.0,10,2,scale,poly
26,0.9047619047619048,0.4934062957763672,0.0,100,2,auto,rbf
27,0.8333333333333334,0.4374806880950928,0.0,1,3,scale,poly
28,0.8333333333333334,0.3683943748474121,0.0,10,2,scale,rbf
29,0.9047619047619048,0.3731529712677002,0.0,100,2,auto,poly
30,0.8809523809523809,0.3569366931915283,0.0,10,2,scale,poly
31,0.9285714285714286,0.3648722171783447,0.0,10,2,scale,rbf
32,0.9285714285714286,0.3685765266418457,0.0,100,2,auto,rbf
33,0.8095238095238095,0.36813974380493164,0.0,10,2,scale,poly
34,0.8095238095238095,0.3598601818084717,0.0,1,2,scale,poly
35,0.9523809523809523,0.3685615062713623,0.0,10,2,scale,rbf
36,0.8095238095238095,0.3599822521209717,0.0,1,2,scale,rbf
37,0.9047619047619048,0.361924409866333,0.0,10,2,scale,poly
38,0.9285714285714286,0.38401365280151367,0.0,100,2,auto,poly
39,0.9285714285714286,0.3641173839569092,0.0,100,2,auto,poly
40,0.9047619047619048,0.36132287979125977,0.0010464191436767578,10,2,scale,rbf
41,0.8809523809523809,0.348707914352417,0.0,10,2,scale,poly
42,0.7857142857142857,0.35001325607299805,0.0010066032409667969,10,2,scale,rbf
43,0.9523809523809523,0.3501412868499756,0.0,100,2,auto,rbf
44,0.9047619047619048,0.3497786521911621,0.0,10,2,scale,rbf
45,0.9047619047619048,0.4081094264984131,0.0,1,3,scale,poly
46,0.9047619047619048,0.45795679092407227,0.0,10,2,scale,rbf
47,0.9047619047619048,0.45646238327026367,0.0,100,2,auto,poly
48,0.8809523809523809,0.4651014804840088,0.0,1,2,scale,poly
49,0.9285714285714286,0.4664332866668701,0.0009992122650146484,10,2,scale,poly
50,0.8333333333333334,0.44913268089294434,0.0009996891021728516,10,2,scale,rbf
