fold,accuracy,training_time,prediction_time,C,degree,gamma,kernel
1,0.9047619047619048,0.42012929916381836,0.0,100,2,scale,rbf
2,0.8333333333333334,0.4069969654083252,0.0,100,2,auto,rbf
3,0.8333333333333334,0.4245598316192627,0.0,10,2,scale,rbf
4,0.8809523809523809,0.40089917182922363,0.0,10,2,scale,rbf
5,0.9285714285714286,0.37636399269104004,0.0,100,2,auto,rbf
6,1.0,0.37093472480773926,0.0,100,2,scale,rbf
7,0.7619047619047619,0.3683784008026123,0.0,1,3,scale,poly
8,0.8809523809523809,0.36931443214416504,0.0,100,2,auto,rbf
9,0.8809523809523809,0.35337042808532715,0.0,10,2,scale,rbf
10,0.9523809523809523,0.3743910789489746,0.0,10,2,scale,rbf
11,0.9047619047619048,0.36771082878112793,0.0,100,2,scale,rbf
12,0.9047619047619048,0.360565185546875,0.0,1,3,scale,poly
13,0.8571428571428571,0.3599538803100586,0.0,100,2,auto,rbf
14,0.8809523809523809,0.3788321018218994,0.0,10,2,scale,rbf
15,0.8571428571428571,0.36519813537597656,0.0,10,2,scale,rbf
16,0.9047619047619048,0.3632786273956299,0.0,100,2,scale,rbf
17,0.9285714285714286,0.36461353302001953,0.0,10,2,scale,poly
18,0.9523809523809523,0.36058712005615234,0.0,10,2,scale,poly
19,0.8809523809523809,0.3566291332244873,0.0,100,2,scale,rbf
20,0.8809523809523809,0.3745706081390381,0.0,100,2,auto,rbf
21,0.9047619047619048,0.35009050369262695,0.0,10,2,scale,poly
22,0.8095238095238095,0.36067962646484375,0.0,100,2,auto,rbf
23,0.9047619047619048,0.349193811416626,0.0,10,2,scale,rbf
24,0.9047619047619048,0.36860013008117676,0.0,10,2,scale,rbf
25,0.9285714285714286,0.37135934829711914,0.0,10,2,scale,poly
26,0.9761904761904762,0.37560224533081055,0.0,10,2,scale,rbf
27,0.8809523809523809,0.36463117599487305,0.0,10,2,scale,rbf
28,0.8333333333333334,0.3691384792327881,0.0,100,2,scale,rbf
29,0.9523809523809523,0.35742902755737305,0.0,100,2,auto,rbf
30,0.7857142857142857,0.36855196952819824,0.0,100,2,scale,poly
31,0.8095238095238095,0.355907678604126,0.0,100,2,auto,poly
32,0.9285714285714286,0.3746497631072998,0.0,10,2,scale,rbf
33,0.9047619047619048,0.3664696216583252,0.0,10,2,scale,rbf
34,0.9285714285714286,0.3528714179992676,0.0,10,2,scale,poly
35,0.9285714285714286,0.3572831153869629,0.0009949207305908203,100,2,scale,rbf
36,0.8571428571428571,0.3499593734741211,0.0,10,2,scale,poly
37,0.9523809523809523,0.3553636074066162,0.0,100,2,auto,rbf
38,0.9285714285714286,0.3572354316711426,0.0,10,2,scale,rbf
39,0.9523809523809523,0.3759124279022217,0.0,100,2,auto,rbf
40,0.9761904761904762,0.3618588447570801,0.0010089874267578125,10,2,scale,rbf
41,0.8809523809523809,0.36310267448425293,0.0,10,2,scale,poly
42,0.7619047619047619,0.3495199680328369,0.0,10,2,scale,rbf
43,0.9523809523809523,0.3640875816345215,0.0,10,2,scale,poly
44,0.9047619047619048,0.3579220771789551,0.0,100,2,scale,rbf
45,0.8095238095238095,0.36623263359069824,0.0,100,2,auto,rbf
46,0.9047619047619048,0.35249757766723633,0.0,100,2,auto,rbf
47,0.8809523809523809,0.34757065773010254,0.0,100,2,auto,rbf
48,0.9761904761904762,0.36106324195861816,0.0,10,2,scale,poly
49,0.9285714285714286,0.34136438369750977,0.0,10,2,scale,poly
50,0.8095238095238095,0.35559892654418945,0.0,100,2,scale,rbf
