Fold,Accuracy,Training_Time,Prediction_Time
1,0.8809523809523809,0.0018610954284667969,0.0020089149475097656
2,0.9047619047619048,0.003479480743408203,0.0
3,0.9047619047619048,0.004065990447998047,0.0
4,0.9285714285714286,0.0020105838775634766,0.0008282661437988281
5,0.8095238095238095,0.0008633136749267578,0.0
6,0.8809523809523809,0.0,0.00714421272277832
7,0.8571428571428571,0.002170085906982422,0.0020084381103515625
8,0.9047619047619048,0.002009153366088867,0.0
9,0.9047619047619048,0.0006651878356933594,0.002085447311401367
10,0.8095238095238095,0.002007722854614258,0.0
11,0.8333333333333334,0.003945350646972656,0.0
12,0.8809523809523809,0.0,0.0
13,0.9523809523809523,0.0,0.0
14,0.8095238095238095,0.0,0.0
15,0.9523809523809523,0.0,0.0
16,0.8333333333333334,0.0,0.0
17,0.8571428571428571,0.0020134449005126953,0.0
18,0.9047619047619048,0.006780862808227539,0.0020112991333007812
19,0.8571428571428571,0.002260446548461914,0.0020072460174560547
20,1.0,0.001566171646118164,0.001272439956665039
21,0.8809523809523809,0.0,0.0
22,0.8809523809523809,0.007319927215576172,0.0
23,0.8333333333333334,0.002349853515625,0.0
24,0.9047619047619048,0.0020110607147216797,0.0
25,0.9285714285714286,0.002927541732788086,0.0
26,0.8809523809523809,0.0,0.0020105838775634766
27,0.8333333333333334,0.0020110607147216797,0.0
28,0.8809523809523809,0.0013666152954101562,0.0
29,0.8571428571428571,0.0,0.0
30,0.9285714285714286,0.009144067764282227,0.0028586387634277344
31,0.9047619047619048,0.001697540283203125,0.001886129379272461
32,0.9047619047619048,0.0,0.0
33,0.9047619047619048,0.0,0.0
34,0.8809523809523809,0.006339073181152344,0.0
35,0.8809523809523809,0.0023031234741210938,0.0
36,0.8809523809523809,0.0,0.0
37,0.8095238095238095,0.005727529525756836,0.0
38,0.9047619047619048,0.0,0.0018224716186523438
39,0.8571428571428571,0.0020074844360351562,0.0
40,0.9047619047619048,0.0020084381103515625,0.0015244483947753906
41,0.8333333333333334,0.0,0.0
42,0.9761904761904762,0.0,0.0
43,0.9285714285714286,0.0,0.0075986385345458984
44,0.8333333333333334,0.0014204978942871094,0.0010981559753417969
45,0.9285714285714286,0.0,0.0
46,0.8095238095238095,0.005578756332397461,0.0004019737243652344
47,0.9523809523809523,0.0,0.0
48,0.8809523809523809,0.0,0.0
49,0.8809523809523809,0.0,0.007842540740966797
50,0.9047619047619048,0.0007824897766113281,0.0
