fold,accuracy,training_time,prediction_time,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
1,0.8918918918918919,7.952747821807861,0.0018951892852783203,0.8,0.1,3,100,1.0
2,0.8648648648648649,5.599114894866943,0.004032135009765625,0.8,0.1,5,200,0.8
3,0.8333333333333334,6.966872692108154,0.002026796340942383,0.8,0.2,5,50,0.8
4,0.8611111111111112,6.464345932006836,0.0009987354278564453,1.0,0.1,3,50,0.8
5,0.8888888888888888,6.651140451431274,0.002046823501586914,0.8,0.1,3,50,1.0
6,0.8108108108108109,7.320283889770508,0.0035457611083984375,0.8,0.01,5,200,0.8
7,0.8108108108108109,7.984011173248291,0.006153583526611328,0.8,0.1,7,200,1.0
8,0.8888888888888888,6.859326362609863,0.004496335983276367,0.8,0.1,3,200,1.0
9,0.8888888888888888,5.842706918716431,0.0020155906677246094,0.8,0.1,3,100,1.0
10,0.9166666666666666,5.445049047470093,0.0013568401336669922,0.8,0.1,3,50,1.0
11,0.8108108108108109,6.611839771270752,0.001997232437133789,0.8,0.1,3,50,1.0
12,0.8918918918918919,6.119863510131836,0.0020110607147216797,0.8,0.01,3,200,1.0
13,0.9166666666666666,6.044143199920654,0.0020034313201904297,1.0,0.1,3,50,0.8
14,0.7222222222222222,4.599586009979248,0.0,0.8,0.2,3,100,0.8
15,0.8611111111111112,5.519546031951904,0.0,1.0,0.2,3,50,1.0
16,0.8378378378378378,4.616366386413574,0.002006053924560547,0.8,0.1,3,100,1.0
17,0.8918918918918919,6.912305593490601,0.0020117759704589844,1.0,0.1,3,50,0.8
18,0.8055555555555556,4.964247703552246,0.00099945068359375,1.0,0.01,5,100,1.0
19,0.7222222222222222,5.667999505996704,0.0012423992156982422,0.8,0.01,5,50,1.0
20,0.9166666666666666,5.220351696014404,0.0009970664978027344,0.8,0.2,3,50,1.0
21,0.972972972972973,5.443041086196899,0.0016400814056396484,0.8,0.1,3,50,0.8
22,0.8918918918918919,5.499943256378174,0.0010004043579101562,1.0,0.01,5,50,1.0
23,0.8611111111111112,5.643303632736206,0.0017032623291015625,1.0,0.1,3,100,1.0
24,0.9166666666666666,5.673144340515137,0.0009999275207519531,0.8,0.2,3,50,1.0
25,0.8888888888888888,5.556748867034912,0.0013020038604736328,0.8,0.2,7,100,1.0
26,0.8918918918918919,5.729187488555908,0.006003618240356445,0.8,0.01,5,200,1.0
27,0.918918918918919,5.884972810745239,0.003328561782836914,0.8,0.1,3,50,1.0
28,0.9166666666666666,5.256681680679321,0.0035245418548583984,0.8,0.1,7,50,1.0
29,0.8333333333333334,5.567569732666016,0.0020301342010498047,0.8,0.1,5,50,1.0
30,0.7777777777777778,5.626896381378174,0.0018885135650634766,0.8,0.01,3,100,1.0
31,0.8648648648648649,5.685152769088745,0.002094745635986328,0.8,0.1,5,200,0.8
32,0.918918918918919,5.688243627548218,0.0009963512420654297,1.0,0.2,5,100,1.0
33,0.75,4.897966384887695,0.001188039779663086,0.8,0.1,5,50,1.0
34,0.8333333333333334,5.119913101196289,0.001287221908569336,1.0,0.01,5,100,1.0
35,0.9444444444444444,4.959749937057495,0.0010004043579101562,1.0,0.2,3,50,0.8
36,0.8918918918918919,5.06083345413208,0.0020029544830322266,0.8,0.1,7,100,1.0
37,0.8378378378378378,5.665742635726929,0.0010006427764892578,0.8,0.2,3,50,1.0
38,0.8333333333333334,5.921740293502808,0.002007007598876953,0.8,0.1,5,200,0.8
39,0.8333333333333334,5.368307828903198,0.00200653076171875,0.8,0.1,7,50,1.0
40,0.8888888888888888,4.665385961532593,0.0007584095001220703,1.0,0.1,3,50,1.0
41,0.8648648648648649,4.2671568393707275,0.002004861831665039,0.8,0.1,3,200,1.0
42,0.8378378378378378,4.170685768127441,0.0022897720336914062,0.8,0.2,7,50,0.8
43,0.9444444444444444,4.226606607437134,0.00099945068359375,0.8,0.2,7,50,1.0
44,0.8333333333333334,4.262727499008179,0.0010008811950683594,1.0,0.01,3,100,1.0
45,0.9722222222222222,4.342393398284912,0.0,0.8,0.1,5,100,1.0
46,0.8378378378378378,4.086058139801025,0.002001047134399414,0.8,0.2,3,50,0.8
47,0.8648648648648649,4.424780607223511,0.0,0.8,0.1,5,50,0.8
48,0.8055555555555556,4.559118270874023,0.0010013580322265625,1.0,0.01,7,200,1.0
49,0.8611111111111112,4.232526540756226,0.002009153366088867,0.8,0.2,7,200,0.8
50,0.9166666666666666,4.13990044593811,0.0020105838775634766,0.8,0.1,3,50,0.8
