fold,accuracy,training_time,prediction_time,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
1,0.9534883720930233,3.2545948028564453,0.0020079612731933594,0.8,0.1,3,100,0.8
2,0.8333333333333334,3.1799349784851074,0.0020232200622558594,0.8,0.1,7,200,0.8
3,0.8809523809523809,3.1048552989959717,0.001068115234375,0.8,0.1,3,200,1.0
4,0.9047619047619048,4.031837224960327,0.002629995346069336,0.8,0.01,7,200,0.8
5,0.8333333333333334,4.637929916381836,0.001459360122680664,0.8,0.1,5,200,1.0
6,0.9534883720930233,4.54771089553833,0.001005411148071289,1.0,0.2,5,50,1.0
7,0.7857142857142857,4.479194641113281,0.003692626953125,0.8,0.2,3,50,0.8
8,0.8333333333333334,4.665544509887695,0.0020074844360351562,0.8,0.01,5,200,0.8
9,0.9523809523809523,4.611173391342163,0.001506805419921875,0.8,0.2,3,50,1.0
10,0.9523809523809523,4.647895574569702,0.0020301342010498047,0.8,0.2,3,200,1.0
11,0.9302325581395349,4.563954830169678,0.002066373825073242,0.8,0.2,3,200,0.8
12,0.9523809523809523,4.524145841598511,0.0,0.8,0.1,7,50,1.0
13,0.8809523809523809,4.650735139846802,0.0,0.8,0.2,3,200,1.0
14,0.8333333333333334,4.647953748703003,0.0026934146881103516,0.8,0.1,5,200,0.8
15,0.8095238095238095,4.693868637084961,0.002401113510131836,0.8,0.01,7,200,1.0
16,0.9534883720930233,4.640032052993774,0.0020389556884765625,0.8,0.1,5,200,1.0
17,0.9761904761904762,4.707464933395386,0.002077341079711914,1.0,0.2,7,200,0.8
18,0.8571428571428571,4.4049224853515625,0.0010080337524414062,0.8,0.1,3,50,1.0
19,0.8571428571428571,4.5485312938690186,0.0016071796417236328,1.0,0.2,5,100,0.8
20,0.9047619047619048,4.66279411315918,0.0019352436065673828,0.8,0.1,3,200,0.8
21,0.9069767441860465,4.654612064361572,0.0019638538360595703,0.8,0.2,3,200,0.8
22,0.8571428571428571,4.38596510887146,0.0,1.0,0.1,5,50,1.0
23,0.8333333333333334,4.50640344619751,0.0015125274658203125,0.8,0.2,5,100,1.0
24,0.8095238095238095,4.526942014694214,0.002033233642578125,0.8,0.2,7,200,1.0
25,0.9047619047619048,4.597271919250488,0.0009951591491699219,0.8,0.2,3,100,0.8
26,0.9069767441860465,4.597146034240723,0.0025129318237304688,0.8,0.1,5,100,0.8
27,0.9047619047619048,4.539466619491577,0.00099945068359375,0.8,0.1,3,50,1.0
28,0.6904761904761905,4.49416708946228,0.0020074844360351562,1.0,0.2,7,200,0.8
29,0.9285714285714286,4.648564338684082,0.0025446414947509766,0.8,0.2,7,200,0.8
30,0.9047619047619048,4.73461127281189,0.00220489501953125,0.8,0.1,3,100,1.0
31,0.8604651162790697,4.999955892562866,0.002018451690673828,1.0,0.1,3,200,1.0
32,0.9285714285714286,5.093761444091797,0.0010979175567626953,0.8,0.1,3,100,0.8
33,0.9047619047619048,4.757442235946655,0.0010118484497070312,0.8,0.1,3,100,1.0
34,0.8809523809523809,4.708846807479858,0.0008783340454101562,0.8,0.1,5,200,1.0
35,0.9047619047619048,4.630414247512817,0.00106048583984375,1.0,0.2,7,100,1.0
36,0.9767441860465116,4.824733734130859,0.0,0.8,0.2,7,200,0.8
37,0.8333333333333334,4.582899570465088,0.0012996196746826172,0.8,0.2,5,50,1.0
38,0.9523809523809523,4.594546318054199,0.000997781753540039,0.8,0.1,5,50,0.8
39,0.9285714285714286,4.5819642543792725,0.0019986629486083984,0.8,0.1,3,50,0.8
40,0.8809523809523809,4.535872459411621,0.001999378204345703,0.8,0.2,5,100,1.0
41,0.8604651162790697,4.494153261184692,0.0010066032409667969,0.8,0.1,3,50,0.8
42,0.8333333333333334,4.619019985198975,0.0009989738464355469,0.8,0.1,7,100,0.8
43,0.8333333333333334,4.573970556259155,0.0,0.8,0.1,3,200,1.0
44,0.9523809523809523,4.9469380378723145,0.0016093254089355469,0.8,0.1,3,200,1.0
45,0.9047619047619048,4.546916246414185,0.0020003318786621094,0.8,0.2,5,200,0.8
46,0.8837209302325582,4.7742321491241455,0.0012314319610595703,1.0,0.01,7,200,0.8
47,0.9047619047619048,4.589911699295044,0.0020363330841064453,1.0,0.2,7,200,0.8
48,0.9047619047619048,4.547127723693848,0.0014231204986572266,0.8,0.1,3,100,0.8
49,0.8571428571428571,4.643471717834473,0.0015070438385009766,1.0,0.1,3,200,0.8
50,0.8571428571428571,4.666642904281616,0.001506805419921875,0.8,0.01,7,200,1.0
