fold,accuracy,training_time,prediction_time,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
1,0.8809523809523809,7.381396532058716,0.0020248889923095703,1.0,0.1,3,100,1.0
2,0.8095238095238095,3.48077654838562,0.0020079612731933594,0.8,0.01,3,100,0.8
3,0.8571428571428571,3.3478341102600098,0.002004861831665039,1.0,0.2,5,50,1.0
4,0.9285714285714286,3.461902141571045,0.0,0.8,0.1,3,100,0.8
5,0.9047619047619048,3.6858785152435303,0.002039194107055664,0.8,0.01,5,200,1.0
6,0.8809523809523809,3.3716821670532227,0.0020246505737304688,0.8,0.2,3,50,0.8
7,0.8571428571428571,4.166440010070801,0.0015537738800048828,0.8,0.1,5,200,1.0
8,0.8333333333333334,4.707435369491577,0.003050565719604492,1.0,0.1,5,50,0.8
9,0.9285714285714286,4.978641748428345,0.002006053924560547,0.8,0.2,5,200,0.8
10,0.9523809523809523,4.657388925552368,0.0020093917846679688,0.8,0.2,3,100,0.8
11,0.9047619047619048,4.655830144882202,0.0017440319061279297,1.0,0.1,3,100,1.0
12,0.8571428571428571,4.487242698669434,0.0003845691680908203,0.8,0.01,5,50,0.8
13,0.8095238095238095,4.474735498428345,0.0020334720611572266,1.0,0.1,3,100,1.0
14,0.8809523809523809,4.50447678565979,0.0,0.8,0.1,5,50,1.0
15,0.8571428571428571,4.353007793426514,0.0,0.8,0.1,3,50,1.0
16,0.8809523809523809,4.464874267578125,0.0012400150299072266,0.8,0.1,3,100,1.0
17,0.9285714285714286,4.420937538146973,0.0015151500701904297,0.8,0.2,5,50,0.8
18,0.9047619047619048,4.61089015007019,0.0015473365783691406,0.8,0.2,3,100,1.0
19,0.8333333333333334,4.433940172195435,0.0034601688385009766,0.8,0.1,3,100,1.0
20,0.9047619047619048,4.641272783279419,0.002004384994506836,0.8,0.1,7,200,0.8
21,0.9047619047619048,4.450716972351074,0.0020051002502441406,1.0,0.2,3,50,0.8
22,0.8333333333333334,4.436298131942749,0.0015060901641845703,1.0,0.1,3,100,1.0
23,0.8809523809523809,4.868123769760132,0.002938985824584961,0.8,0.2,7,200,0.8
24,0.8095238095238095,4.637758255004883,0.0,0.8,0.1,3,100,0.8
25,0.9523809523809523,4.65619421005249,0.0022346973419189453,0.8,0.2,7,50,0.8
26,0.8571428571428571,4.676666021347046,0.0027053356170654297,0.8,0.1,5,100,0.8
27,0.8809523809523809,4.491782903671265,0.0,0.8,0.2,5,200,0.8
28,0.8095238095238095,4.500915288925171,0.0,0.8,0.1,7,100,1.0
29,0.9523809523809523,4.554372549057007,0.002026081085205078,1.0,0.2,3,100,1.0
30,0.8809523809523809,5.190263509750366,0.0020232200622558594,1.0,0.2,7,200,0.8
31,0.9047619047619048,8.86280107498169,0.0056285858154296875,0.8,0.1,5,200,0.8
32,0.9047619047619048,8.706396341323853,0.002113819122314453,0.8,0.1,3,100,0.8
33,0.8809523809523809,8.941184759140015,0.004747867584228516,0.8,0.1,5,100,1.0
34,0.8333333333333334,8.51232385635376,0.003069639205932617,0.8,0.1,5,100,1.0
35,0.9285714285714286,9.449404954910278,0.002009868621826172,0.8,0.1,3,100,0.8
36,0.8095238095238095,4.593409061431885,0.0020112991333007812,0.8,0.1,3,50,1.0
37,0.8571428571428571,3.5864415168762207,0.0,1.0,0.2,3,100,1.0
38,0.9047619047619048,3.4930977821350098,0.0,1.0,0.2,3,50,1.0
39,0.9047619047619048,3.4950239658355713,0.002007007598876953,0.8,0.1,7,100,1.0
40,0.8571428571428571,4.050750732421875,0.0013012886047363281,0.8,0.2,3,50,1.0
41,0.9523809523809523,4.681732416152954,0.00154876708984375,0.8,0.1,5,100,1.0
42,0.8095238095238095,4.3135833740234375,0.0,1.0,0.2,7,50,1.0
43,0.9047619047619048,4.484233140945435,0.0020055770874023438,0.8,0.1,3,100,1.0
44,0.9523809523809523,4.420682907104492,0.0034036636352539062,0.8,0.1,3,100,1.0
45,0.8571428571428571,4.314390659332275,0.0021224021911621094,0.8,0.1,7,50,0.8
46,0.8809523809523809,4.467485189437866,0.0,0.8,0.1,5,100,1.0
47,0.8571428571428571,4.526061773300171,0.002006053924560547,0.8,0.1,3,200,0.8
48,0.8809523809523809,4.518149375915527,0.0018453598022460938,0.8,0.01,5,200,0.8
49,0.8571428571428571,4.398658752441406,0.0015060901641845703,0.8,0.01,5,50,1.0
50,0.8095238095238095,4.272171974182129,0.0015060901641845703,1.0,0.2,3,100,0.8
